"ACCNO","GLGROUP","NAME","TITLE","INIT","ADDR1","ADDR2","ADDR3","CODE","DNAME","DADDR1","DADDR2","DADDR3","DCODE","DINSTR","DISC","RETAIL","TEL","FAX","CONTACT","DELIMIT","OPENBAL","PERIOD01","PERIOD02","PERIOD03","PERIOD04","AREA","TERMCODE","EMAIL","CATEGORY"
"110000","010","SALES ACCOUNT","","","","","","","","","","","","",0.00,1,"","","",0.00,0.00,-11630685.71,-2202397.76,-2938977.80,-800387.57,"","","",""
"111000","110","BUY-OUT SALES ACCOUNT","","","","","","","","","","","","",0.00,1,"","","",0.00,0.00,0.00,0.00,0.00,0.00,"","","",""
"150000","110","COST OF SALES ACCOUNT","","","","","","","","","","","","",0.00,1,"","","",0.00,0.00,12887119.12,2466952.64,3259520.58,925318.57,"","","",""
"240000","260","DISCOUNT ALLOWED","","","","","","","","","","","","",0.00,1,"","","",0.00,0.00,1961.24,9.60,6.98,2.43,"","","",""
"241000","260","DISCOUNT RECEIVED","","","","","","","","","","","","",0.00,1,"","","",0.00,0.00,0.00,0.00,0.00,0.00,"","","",""
"250000","110","STOCK ADJUSTMENT ACCOUNT","","","","","","","","","","","","",0.00,1,"","","",0.00,0.00,-2716140.58,-4208960.89,-60559.91,-27541.09,"","","",""
"3DCC01","","3D CRYSTAL CREATIONS","","","27 SAXENBURG CRESENT","OAKGLENN","BELLVILLE","7530","","*DIFFICULT CLIENT = QLTY","","","","",8.00,1,"021-919-4346","086-514-6268","JEFF",0.00,0.00,0.00,0.00,0.00,0.00,"","COD","jeff101@telkomsa.net","021"
"3DCS01","","3D CRYSTAL STUDIOS","","","11 ROOS BOLTON CRESCENT","KNYSNA HEIGHTS","KNYSNA, WESTERN CAPE","6571","","55 VISTA RD, WATERFALL","3610","","","NIELDRICHARD@GMAIL.COM",0.00,1,"044 382 1511","031 765 7639","RICHARD/ELIZABETH",0.00,0.00,0.00,0.00,0.00,0.00,"","","3dcrystalstudio@telkomsa.net; nieldricha","031"
"450000","510","ACCUMULATED PROFIT/LOSS","","","","","","","","","","","","",0.00,1,"","","",0.00,0.00,-1457745.93,-3944396.41,259989.85,97392.34,"","","",""
"560000","910","DEBTORS CONTROL ACCOUNT","","","","","","","","","","","","",0.00,1,"","","",0.00,0.00,133326.42,35626.42,5962.31,30573.82,"","","",""
"575000","910","STOCK ACCOUNT","","","","","","","","","","","","",0.00,1,"","","",0.00,0.00,1246038.46,5531374.25,546144.08,-889121.98,"","","",""
"580000","910","BANK ACCOUNT","","","","","","","","","","","","",0.00,1,"","","",0.00,0.00,0.00,0.00,0.00,0.00,"","","",""
"585000","910","CASH ON HAND ACCOUNT","","","","","","","","","","","","",0.00,1,"","","",0.00,0.00,12907789.81,2497121.58,3372937.36,889869.48,"","","",""
"587000","960","CHEQUE PERIOD HOLDING ACCOUNT","","","","","","","","","","","","",0.00,1,"","","",0.00,0.00,0.00,0.00,0.00,0.00,"","","",""
"590000","960","CREDITORS CONTROL ACCOUNT","","","","","","","","","","","","",0.00,1,"","","",0.00,0.00,-12745254.25,-4357770.90,-4306870.46,-9953.83,"","","",""
"600000","960","VAT OUTPUT ACCOUNT","","","","","","","","","","","","",0.00,1,"","","",0.00,0.00,-1412391.76,-330359.84,-439928.85,-120058.16,"","","",""
"610000","910","VAT INPUT ACCOUNT","","","","","","","","","","","","",0.00,1,"","","",0.00,0.00,1328237.25,568404.90,561765.71,1298.33,"","","",""
"AA0100","","AFRICAN APPAREAL","","","FESTIVAL MALL","KEMPTON PARK","","","","","","","","",0.00,1,"073 506 7006","","ANNE JOSEPH",100000.00,0.00,0.00,0.00,0.00,0.00,"","","africanob1@gmail.com",""
"AG0100","","ABSOLUTE GAP GIFTS & PROMOTIONS","","","63 12TH AVENUE","NORTHMEAD","BENONI","","","P.O. BOX 16173","ATLASVILLE","1465","","",0.00,1,"010 500 1096","N/A","SAMANTHA",0.00,0.00,0.00,0.00,0.00,0.00,"","","samantha@gappromo.co.za",""
