accno,glgroup,name,title,init,addr1,addr2,addr3,code,dname,daddr1,daddr2,daddr3,dcode,dinstr,disc,tel,fax,contact,delimit,openbal,period01,period02,period03,period04,area,termcode,email,category,show
110000,10.0,Sales Account,,,,,,,,,,,,,0.0,,,,0.0,0.0,-11630685.71,-2202397.76,-2938977.8,-800387.57,,COD,,,N
111000,110.0,Buy-Out Sales Account,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,COD,,,N
150000,110.0,Cost Of Sales Account,,,,,,,,,,,,,0.0,,,,0.0,0.0,12887119.12,2466952.64,3259520.58,925318.57,,COD,,,N
240000,260.0,Discount Allowed,,,,,,,,,,,,,0.0,,,,0.0,0.0,1961.24,9.6,6.98,2.43,,COD,,,N
241000,260.0,Discount Received,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,COD,,,N
250000,110.0,Stock Adjustment Account,,,,,,,,,,,,,0.0,,,,0.0,0.0,-2716140.58,-4208960.89,-60559.91,-27541.09,,COD,,,N
3DCC01,,3D Crystal Creations,,,27 SAXENBURG CRESENT,OAKGLENN,BELLVILLE,7530.0,,*DIFFICULT CLIENT = QLTY,,,,,8.0,021-919-4346,086-514-6268,JEFF,0.0,0.0,0.0,0.0,0.0,0.0,,COD,jeff101@telkomsa.net,21.0,Y
3DCS01,,3D Crystal Studios,,,11 ROOS BOLTON CRESCENT,KNYSNA HEIGHTS,"KNYSNA, WESTERN CAPE",6571.0,,"55 VISTA RD, WATERFALL",3610,,,NIELDRICHARD@GMAIL.COM,0.0,044 382 1511,031 765 7639,RICHARD/ELIZABETH,0.0,0.0,0.0,0.0,0.0,0.0,,COD,3dcrystalstudio@telkomsa.net; nieldricha,31.0,Y
450000,510.0,Accumulated Profit/Loss,,,,,,,,,,,,,0.0,,,,0.0,0.0,-1457745.93,-3944396.41,259989.85,97392.34,,COD,,,N
560000,910.0,Debtors Control Account,,,,,,,,,,,,,0.0,,,,0.0,0.0,133326.42,35626.42,5962.31,30573.82,,COD,,,N
575000,910.0,Stock Account,,,,,,,,,,,,,0.0,,,,0.0,0.0,1246038.46,5531374.25,546144.08,-889121.98,,COD,,,N
580000,910.0,Bank Account,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,COD,,,N
585000,910.0,Cash On Hand Account,,,,,,,,,,,,,0.0,,,,0.0,0.0,12907789.81,2497121.58,3372937.36,889869.48,,COD,,,N
587000,960.0,Cheque Period Holding Account,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,COD,,,N
590000,960.0,Creditors Control Account,,,,,,,,,,,,,0.0,,,,0.0,0.0,-12745254.25,-4357770.9,-4306870.46,-9953.83,,COD,,,N
600000,960.0,Vat Output Account,,,,,,,,,,,,,0.0,,,,0.0,0.0,-1412391.76,-330359.84,-439928.85,-120058.16,,COD,,,N
610000,910.0,Vat Input Account,,,,,,,,,,,,,0.0,,,,0.0,0.0,1328237.25,568404.9,561765.71,1298.33,,COD,,,N
AA0100,,African Appareal,,,FESTIVAL MALL,KEMPTON PARK,,,,,,,,,0.0,073 506 7006,,ANNE JOSEPH,100000.0,0.0,0.0,0.0,0.0,0.0,,COD,africanob1@gmail.com,,Y
AG0100,,Absolute Gap Gifts & Promotions,,,63 12TH AVENUE,NORTHMEAD,BENONI,,,P.O. BOX 16173,ATLASVILLE,1465,,,0.0,010 500 1096,,SAMANTHA,0.0,0.0,0.0,0.0,0.0,0.0,,COD,samantha@gappromo.co.za,,Y
AGU010,,Jabulani Nhlamba,,,PLOT 37521; BLOCK 8. GABORONE,,KWC CUSTOMS CODE: CU25439585,,"PLOT104, UNIT5, COMMERCE PARK,GABORONE",BOTSWANA...OMEGA COURIERS,WRIGHT@OMEGACOURIERS.CO.ZA,011 781 1920 - WRIGHT,,AWARDS @ GIFTS UNLIMITED,10.0,00267 75 511 117,00267 395 6493,JABULANI,0.0,0.0,-0.14,0.0,0.0,0.0,,COD,j_nhlamba@yahoo.co.uk,267.0,Y
BB0100,,Bianca Bothma,,,T/A BJVR CREATIONS,,   (MOSTLY DAMAGE PIECES),,,,,,,,20.0,083 952 4235,,BIANCA BOTHMA,0.0,0.0,0.0,0.0,-16.33,-21.98,,COD,biancaj21@gmail.com,,Y
BIE010,,Bema Imports & Exports,,,12 NORTH ROAD,"EVELEIGH, BOKSBURG",,,"P.O BOX 25416, EASTRAND, 1462",INFO@CRYSTALCONCEPTS.CO.ZA,,JACO 073 842 6004,,INGRID@CRYSTALCONCEPTS.CO.ZA,0.0,011 026 1155,086 537 8933,INGRID OWENS/JACO,20000.0,0.0,0.0,0.0,0.0,0.0,,30,jaco@crystalconcepts.co.za,11.0,Y
BM0100,,Boss Mark (Pty) Ltd,,,PLOT 5607,SELOKWANE WARD,GABORONE,,,,,,,,0.0,+267 77442020,,JAMES,0.0,0.0,0.0,0.0,0.0,0.0,,COD,bossmarkcafe@gmail.com,267.0,Y
CASH01,,Cash Sale,,,,,,,,,,,,,0.0,,,,0.0,0.0,21.85,-21.85,0.0,0.0,,COD,,,Y
CBT010,,Clear Brands Trading,,,UNIT 66 MONTERREY,TROUPANT AVE MAGALIESSIG EXT33,SANDTON,2191.0,,P O BOX 55021,NORTHLANDS,2116,,,0.0,084 812 2568,086 627 2017,ARMSTEAD,0.0,0.0,0.0,0.0,0.0,0.0,,COD,armstead@clearbrands.co.za,,Y
CC0100,,Crystal Concepts,,,10 ROSS STREET,BOKSBURG WEST,,1460.0,,,,,,,5.0,(011)0261155 (011)0131133,,JACO; CYNTHIA,0.0,0.0,0.0,0.0,0.0,0.0,,COD,info@crystalconcepts.co.za; accounts@,,Y
CCG020,,Clean Cut Glass,,,"2 HARRIS RD, INDUSTRIES WEST",GERMISTON,,,,,,,,AMANDA@CLEANCUTGLASS.CO.ZA,0.0,011 872 0974,011 873 1462,AMANDA/MIKE/RUSTY,0.0,0.0,0.0,0.0,0.0,0.0,,COD,mike@cleancutglass.co.za,11.0,Y
CCP010,,Crystal Clear Printing,,,OFFICE NUMBER A4,219 BEYERS NAUDE,RUSTENBURG,299.0,,,,,,,0.0,063 026 7008,,MASIMBA,0.0,0.0,0.0,0.0,0.0,0.0,,COD,dimeloninvestments@gmail.com,,Y
CEP010,,Chancor Engraving And Printing,,,161 RICHARDS AVENUE,PIERRE VAN RYNEFELD,CENTURION,157.0,,,,,,,0.0,0768987600,,JAN BOTES,0.0,0.0,0.0,0.0,0.0,0.0,,COD,info@chancor.co.za,12.0,Y
CGA000,,Comercio Geral Achiees/ Gift & Corporate,,,"MAPUTO SHOPPNG CNT, SHOP G11",MAPUTO,MOZAMBIQUE,,,TIME FREIGHT ADRESS,"SHOP 4, BACELIA CENTRE","RISSIK RD, KOMATIPOORT",,,10.0,00258-842983905,,MAYANK SURENDRA,0.0,0.0,-52.94,0.0,0.0,0.0,,COD,max.makss@gmail.com,,Y
CHA010,,Champions Hardware Arms & Ammunition,,,T/A CHAMPION LOCKSMITHS,1 DE VILLIERS AVE,VEREENIGING,1930.0,,P O BOX 562,VEREENIGING,,,,0.0,016 421 3744,016 421 2558,EMIL SWANEPOEL (OWNER),0.0,0.0,0.0,0.0,0.0,0.0,,COD,emil@chapionlg.co.za,16.0,Y
CI0100,,Cathrick International,,,P.O BOX 27406,"RHINE RD, SA",,,BELL AT RIGHT HAND SIDE PILLAR,146 HIGH LEVEL ROAD,THREE ANCHOR BAY,CAPE TOWN,,,5.0,021 465 0122,021 439 0119,PATRICK FILMMALTER,0.0,0.0,0.0,0.0,0.0,0.0,,COD,cathrick@icon.co.za,21.0,Y
CIG010,,Cast In Glass,,,7 SERCAL CRESCENT,"GOEDEMOED, DURBANVILLE",,7550.0,,BOX 1743,DURBANVILLE,7551,,,5.0,021 976 6710,086 671 5572,INGRID: 082 929 3230,0.0,0.0,6414.09,-6414.09,0.0,1426.8,,COD,castinglass@mweb.co.za,21.0,Y
COS010,,Cosaltrading C.C,,,T/A JUMP STREET,"SHOP 66, VAAL MALL, CNR",BARRAGE  & ROSIN; BOULEVARD,,,,,084 661 9044,,SALEYSAMEERA@GMAIL.COM,10.0,016 981 5184,,MR HANIF,0.01,0.0,0.0,0.0,-0.3,0.0,,COD,jumpstreetvaal@gmail.com,,Y
