"ITEM NUMBER","DESCRIPTION","CAT","BIN","UNIT","TYPE","ACTIVE","ZERO-COST","S/NO","PRICE","WARRANTY"
"33715-DM","PADLOCK CLOCK","999","","EA","0","N","N","N","9","0"
"38-3478-3C","TABLE MOUNTAIN MAGNET","999","","EA","0","N","N","N","9","0"
"38-3478-3E","THREE RONDAWELS MAGNET","999","","EA","0","N","N","N","9","0"
"38-6117-2B","ELEPHANT THERMO METER MAGNET","999","","EA","0","N","N","N","9","0"
"38-6117-2E","BUCK THERMO METER MAGNET","999","","EA","0","N","N","N","9","0"
"38-6117-3A","GIRAFFE THERMO METER MAGNET","999","","EA","0","N","N","N","9","0"
"38-6117-3C","LEOPARD THERMO METER MAGNET","999","","EA","0","N","N","N","9","0"
"38-6117-3D","LION THERMO METER MAGNET","999","","EA","0","N","N","N","9","0"
"38-6117-3F","RHINO THERMO METER MAGNET","999","","EA","0","N","N","N","9","0"
"38-6117-3G","ZEBRA THERMO METER MAGNET","999","","EA","0","N","N","N","9","0"
"38-6117-3H","HIPPO THERMO METER MAGNET","999","","EA","0","N","N","N","9","0"
"38-6117-3I","BUFFALO THERMO METER MAGNET","999","","EA","0","N","N","N","9","0"
"38-695-2E","BUCK BOTTLE OPEN MAGN/STEEL","999","","EA","0","N","N","N","9","0"
"38-695-2H","HIPPO BOTTEL OPEN MAGN/STEEL","999","","EA","0","N","N","N","9","0"
"38-696-2A","GIRAFFE BOTTLE OPEN MAGN/WOOD","999","","EA","0","N","N","N","9","0"
"38-696-2C","LEOPARD BOTTLE OPEN MAGN/WOOD","999","","EA","0","N","N","N","9","0"
"38-696-2E","BUCK BOTTLE OPEN MAGN/WOOD","999","","EA","0","N","N","N","9","0"
"38-696-2H","HIPPO WOODEN MAGNET","999","","EA","0","N","N","N","9","0"
"60137","FUNNY 3WHEEL BLUE CAR","999","","EA","0","N","N","N","9","0"
"AF-02","AIRFREIGHT CHARGE","000","","KG","0","Y","Y","N","9","0"
"AK-03","ALPHABET KEYRINGS","999","","EA","0","N","N","N","9","0"
"AM6525","BIG WOODEN JEWELLERY HOLDER","999","","EA","0","N","N","N","9","0"
"AM837","MEDIUM JWELLERY HOLDER","999","","EA","0","N","N","N","9","0"
"AM846A/B","MEDIUM JEWELLERY HOLDER","999","","EA","0","N","N","N","9","0"
"AM847","MEDIUM JEWELLERY STAND","999","","EA","0","N","N","N","9","0"
"AM849","MEDIUM JEWELLERY HOLDER","999","","EA","0","N","N","N","9","0"
"AN-91081","ANGEL ON MOON","999","","EA","0","N","N","N","9","0"
"AN-91082","ANGEL ON FEATHER","999","","EA","0","N","N","N","9","0"
"AN-91091","ANGEL WITH HEART","999","","EA","0","N","N","N","9","0"
"AN-98374","4 WHITE ANGEL MAGNETS 4P/B","999","","EA","0","N","N","N","9","0"
"AN-99311","WHITE ANGELS HANGING 8P/B","999","","EA","0","N","N","N","9","0"
"AN-99328-A/D","WHITE ANGEL JEWELERY HOLDER","999","","EA","0","N","N","N","9","0"
"ARTWORK","ONCE OFF ARTWORK","000","","EA","0","Y","N","N","9","0"
"CAM-DT01","DOG TAG 50*30MM","999","","EA","0","N","N","N","9","0"
"CC01","COURIER CHARGES","000","","EA","0","Y","N","N","9","0"
"CH-184-L","TROPHY 270MM(H)","999","","EA","0","N","N","N","9","0"
"CH-184-M","TROPHY 250MM(H)","999","","EA","0","N","N","N","9","0"
"CH-184-S","TROPHY 225MM(H)","999","","EA","0","N","N","N","9","0"
"CH-195-L","TWIN GD STAR ON PILLAR 330MM(H)","999","","EA","0","N","N","N","9","0"
"CH-195-M","TWIN SV STAR ON PILLAR 305MM(H)","999","","EA","0","N","N","N","9","0"
"CH-195-S","TWIN BZ STAR ON PILLAR 275MM(H)","999","","EA","0","N","N","N","9","0"
"CM-1384","MIRROR 130*80*4MM","050","","EA","0","Y","N","N","9","0"
"CM-1584","MIRROR 150*80*4MM","050","","EA","0","Y","N","N","9","0"
"CM-1884","MIRROR 180*80*4MM","050","","EA","0","Y","N","N","9","0"
"CM-994","MIRROR 90*90*4MM","050","","EA","0","Y","N","N","9","0"
"CR-P32-1","GOLD CUP RUBY RED 350MM(H)","999","","EA","0","Y","N","N","9","0"
"CR-P32-2","GOLD CUP RUBY RED 400MM(H)","999","","EA","0","Y","N","N","9","0"
"CR-P32-3","GOLD CUP RUBY RED 460MM(H)","061","","EA","0","Y","N","N","9","0"
"CR-SL025","SOCCER KICKER 200MM(H)","061","","EA","0","Y","N","N","9","0"
"CR-SL027","HIDDEN SOCCER KICKER 375MM(H)","061","","EA","0","Y","N","N","9","0"
"CR-SL048-1","GOLD CUP SILVER PILLAR 285MM(H)","061","","EA","0","Y","N","N","9","0"
"CR-SL048-2","GOLD CUP SILVER PILLAR 330MM(H)","061","","EA","0","Y","N","N","9","0"
"CR-SL048-3","GOLD CUP SILVER PILLAR 385MM(H)","061","","EA","0","Y","N","N","9","0"
"CR-SL062-1","GD CUP RUBY STONES 310MM(H)","061","","EA","0","Y","N","N","9","0"
"CR-SL062-2","GD CUP RUBY STONES 355MM(H)","061","","EA","0","Y","N","N","9","0"
"CR-SL062-3","GD CUP RUBY STONES 405MM(H)","061","","EA","0","Y","N","N","9","0"
"CR-SL101-1","SILVER & BLACK CHALISE 285MM(H)","061","","EA","0","Y","N","N","9","0"
"CR-SL101-2","SILVER & BLACK CHALISE 335MM(H)","061","","EA","0","Y","N","N","9","0"
"CR-SL101-3","SILVER & BLACK CHALISE 390MM(H)","061","","EA","0","Y","N","N","9","0"
"CR-SL125-1","GD/RED CHALISE MARBEL BS 230MM(H)","061","","EA","0","Y","N","N","9","0"
"CR-SL125-2","GD/RED CHALISE MARBEL BS 265MM(H)","061","","EA","0","Y","N","N","9","0"
"CR-SL125-3","GD/RED CHALISE MARBEL BS 300MM(H)","061","","EA","0","Y","N","N","9","0"
"CR-SL130-1","SILVER CHALICE RED SPRAY 295MM(H)","061","","EA","0","Y","N","N","9","0"
"CR-SL130-2","SILVER CHALICE RED SPRAY 310MM(H)","061","","EA","0","Y","N","N","9","0"
"CR-SL130-3","SILVER CHALICE RED SPRAY 335MM(H)","061","","EA","0","Y","N","N","9","0"
