item_number,description,retail,category,supplier,active
33715-DM,Padlock Clock,45,Not Categorised Yet,33,
38-3478-3C,Table Mountain Magnet,10,Not Categorised Yet,38,
38-3478-3E,Three Rondawels Magnet,10,Not Categorised Yet,38,
38-6117-2B,Elephant Thermo Meter Magnet,10.5,Not Categorised Yet,38,
38-6117-2E,Buck Thermo Meter Magnet,10.5,Not Categorised Yet,38,
38-6117-3A,Giraffe Thermo Meter Magnet,10.5,Not Categorised Yet,38,
38-6117-3C,Leopard Thermo Meter Magnet,10.5,Not Categorised Yet,38,
38-6117-3D,Lion Thermo Meter Magnet,10.5,Not Categorised Yet,38,
38-6117-3F,Rhino Thermo Meter Magnet,10.5,Not Categorised Yet,38,
38-6117-3G,Zebra Thermo Meter Magnet,10.5,Not Categorised Yet,38,
38-6117-3H,Hippo Thermo Meter Magnet,10.5,Not Categorised Yet,38,
38-6117-3I,Buffalo Thermo Meter Magnet,10.5,Not Categorised Yet,38,
38-695-2E,Buck Bottle Open Magn/steel,11,Not Categorised Yet,38,
38-695-2H,Hippo Bottel Open Magn/steel,11,Not Categorised Yet,38,
38-696-2A,Giraffe Bottle Open Magn/wood,11,Not Categorised Yet,38,
38-696-2C,Leopard Bottle Open Magn/wood,11,Not Categorised Yet,38,
38-696-2E,Buck Bottle Open Magn/wood,11,Not Categorised Yet,38,
38-696-2H,Hippo Wooden Magnet,11,Not Categorised Yet,38,
60137,Funny 3wheel Blue Car,49.5,Not Categorised Yet,60,
AF-02,Airfreight Charge,100,Not Categorised Yet,AF,N
AK-03,Alphabet Keyrings,9.5,Not Categorised Yet,AK,
AM6525,Big Wooden Jewellery Holder,59,Not Categorised Yet,AM,
AM837,Medium Jwellery Holder,26,Not Categorised Yet,AM,
AM846A/B,Medium Jewellery Holder,39,Not Categorised Yet,AM,
AM847,Medium Jewellery Stand,45,Not Categorised Yet,AM,
AM849,Medium Jewellery Holder,45,Not Categorised Yet,AM,
AN-91081,Angel On Moon,18,Not Categorised Yet,AN,
AN-91082,Angel On Feather,14,Not Categorised Yet,AN,
AN-91091,Angel With Heart,18,Not Categorised Yet,AN,
AN-98374,4 White Angel Magnets 4p/b,8,Not Categorised Yet,AN,
AN-99311,White Angels Hanging 8p/b,14,Not Categorised Yet,AN,
AN-99328-A/D,White Angel Jewelery Holder,14,Not Categorised Yet,AN,
ARTWORK,Once Off Artwork,400,Not Categorised Yet,AR,N
CAM-DT01,Dog Tag 50*30mm,8,Metal & Plastic,CA,
CC01,Courier Charges,20,Not Categorised Yet,CC,N
CH-184-L,Trophy 270mm (H),396,Not Categorised Yet,CH,
CH-184-M,Trophy 250mm (H),331,Not Categorised Yet,CH,
CH-184-S,Trophy 225mm (H),302,Not Categorised Yet,CH,
CH-195-L,Twin Gold Star On Pillar 330mm (H),336,Crystal & Glass,CH,
CH-195-M,Twin Silver Star On Pillar 305mm (H),319,Crystal & Glass,CH,
CH-195-S,Twin Bronze Star On Pillar 275mm (H),290,Crystal & Glass,CH,
CM-1384,Mirror 130*80*4mm,11.6,Not Categorised Yet,CM,N
CM-1584,Mirror 150*80*4mm,13.5,Not Categorised Yet,CM,N
CM-1884,Mirror 180*80*4mm,14.8,Not Categorised Yet,CM,N
CM-994,Mirror 90*90*4mm,8.6,Not Categorised Yet,CM,N
CR-P32-1,Gold Cup Ruby Red 350mm (H),122,Metal & Plastic,CR,
CR-P32-2,Gold Cup Ruby Red 400mm (H),157,Metal & Plastic,CR,
CR-P32-3,Gold Cup Ruby Red 460mm (H),186,Metal & Plastic,CR,
CR-SL025,Soccer Kicker 200mm (H),64,Metal & Plastic,CR,
CR-SL027,Hidden Soccer Kicker 375mm (H),93,Metal & Plastic,CR,
CR-SL048-1,Gold Cup Silver Pillar 285mm (H),87,Metal & Plastic,CR,
