item_number,description,cost,instock,retail,active,supplier,image_file_name,image_file_path,rule_used,category
33715-DM,Padlock Clock,45.0,0.0,45.0,N,33,,/app/static/no_image/no_image.png,,Others
38-3478-3C,Table Mountain Magnet,3.45,0.0,10.0,N,38,,/app/static/no_image/no_image.png,,Others
38-3478-3E,Three Rondawels Magnet,3.45,0.0,10.0,N,38,,/app/static/no_image/no_image.png,,Others
38-6117-2B,Elephant Thermo Meter Magnet,4.75,0.0,10.5,N,38,,/app/static/no_image/no_image.png,,Others
38-6117-2E,Buck Thermo Meter Magnet,4.75,0.0,10.5,N,38,,/app/static/no_image/no_image.png,,Others
38-6117-3A,Giraffe Thermo Meter Magnet,4.75,0.0,10.5,N,38,,/app/static/no_image/no_image.png,,Others
38-6117-3C,Leopard Thermo Meter Magnet,4.75,0.0,10.5,N,38,,/app/static/no_image/no_image.png,,Others
38-6117-3D,Lion Thermo Meter Magnet,4.75,0.0,10.5,N,38,,/app/static/no_image/no_image.png,,Others
38-6117-3F,Rhino Thermo Meter Magnet,4.75,0.0,10.5,N,38,,/app/static/no_image/no_image.png,,Others
38-6117-3G,Zebra Thermo Meter Magnet,4.75,0.0,10.5,N,38,,/app/static/no_image/no_image.png,,Others
38-6117-3H,Hippo Thermo Meter Magnet,4.75,0.0,10.5,N,38,,/app/static/no_image/no_image.png,,Others
38-6117-3I,Buffalo Thermo Meter Magnet,4.75,0.0,10.5,N,38,,/app/static/no_image/no_image.png,,Others
38-695-2E,Buck Bottle Open Magn/steel,5.0,0.0,11.0,N,38,,/app/static/no_image/no_image.png,,Others
38-695-2H,Hippo Bottel Open Magn/steel,1.0,0.0,11.0,N,38,,/app/static/no_image/no_image.png,,Others
38-696-2A,Giraffe Bottle Open Magn/wood,5.0,0.0,11.0,N,38,,/app/static/no_image/no_image.png,,Others
38-696-2C,Leopard Bottle Open Magn/wood,5.0,0.0,11.0,N,38,,/app/static/no_image/no_image.png,,Others
38-696-2E,Buck Bottle Open Magn/wood,5.0,0.0,11.0,N,38,,/app/static/no_image/no_image.png,,Others
38-696-2H,Hippo Wooden Magnet,1.0,0.0,11.0,N,38,,/app/static/no_image/no_image.png,,Others
60137,Funny 3wheel Blue Car,24.75,0.0,49.5,N,60,,/app/static/no_image/no_image.png,,Others
AF-02,Airfreight Charge,50.0,0.0,100.0,N,AF,,/app/static/no_image/no_image.png,,Others
AK-03,Alphabet Keyrings,1.0,0.0,9.5,N,AK,,/app/static/no_image/no_image.png,,Others
AM6525,Big Wooden Jewellery Holder,10.0,0.0,59.0,N,AM,,/app/static/no_image/no_image.png,,Others
AM837,Medium Jwellery Holder,10.0,0.0,26.0,N,AM,,/app/static/no_image/no_image.png,,Others
AM846A/B,Medium Jewellery Holder,10.0,0.0,39.0,N,AM,,/app/static/no_image/no_image.png,,Others
AM847,Medium Jewellery Stand,10.0,0.0,45.0,N,AM,,/app/static/no_image/no_image.png,,Others
AM849,Medium Jewellery Holder,10.0,0.0,45.0,N,AM,,/app/static/no_image/no_image.png,,Others
AN-91081,Angel On Moon,18.0,0.0,18.0,N,AN,,/app/static/no_image/no_image.png,,Others
AN-91082,Angel On Feather,7.0,0.0,14.0,N,AN,,/app/static/no_image/no_image.png,,Others
AN-91091,Angel With Heart,9.0,0.0,18.0,N,AN,,/app/static/no_image/no_image.png,,Others
AN-98374,4 White Angel Magnets 4p/b,5.5,0.0,8.0,N,AN,,/app/static/no_image/no_image.png,,Others
AN-99311,White Angels Hanging 8p/b,7.0,0.0,14.0,N,AN,,/app/static/no_image/no_image.png,,Others
AN-99328-A/D,White Angel Jewelery Holder,7.0,0.0,14.0,N,AN,,/app/static/no_image/no_image.png,,Others
ARTWORK,Once Off Artwork,200.0,0.0,400.0,N,AR,,/app/static/no_image/no_image.png,,Others
BT-L736F,"Alkaline Battery (lr41,ag3) (10xp/p)",20.0,200.0,20.0,Y,BT,,/app/static/no_image/no_image.png,,Others
CAM-DT01,Dog Tag 50*30mm,4.0,0.0,8.0,N,CA,CAM-DT01,/Users/mc/Desktop/Programmes/sales_analysis/data/items/../../static/Made To Order (Special Order)/Metal And Plastic/CAM-DT01.jpg,Rule 1,Metal & Plastic
CC01,Courier Charges,10.0,0.0,20.0,N,CC,,/app/static/no_image/no_image.png,,Others
CH-184-L,Trophy 270mm (h),396.0,0.0,396.0,N,CH,,/app/static/no_image/no_image.png,,Others
CH-184-M,Trophy 250mm (h),331.0,0.0,331.0,N,CH,,/app/static/no_image/no_image.png,,Others
CH-184-S,Trophy 225mm (h),302.0,0.0,302.0,N,CH,,/app/static/no_image/no_image.png,,Others
CH-195-L,Twin Gold Star On Pillar 330mm (h),336.0,0.0,336.0,N,CH,CH-195,/Users/mc/Desktop/Programmes/sales_analysis/data/items/../../static/Made To Order (Special Order)/Crystal And Glass/CS/CH-195.jpg,Rule 3,Crystal & Glass
CH-195-M,Twin Silver Star On Pillar 305mm (h),259.0,0.0,319.0,N,CH,CH-195,/Users/mc/Desktop/Programmes/sales_analysis/data/items/../../static/Made To Order (Special Order)/Crystal And Glass/CS/CH-195.jpg,Rule 3,Crystal & Glass
CH-195-S,Twin Bronze Star On Pillar 275mm (h),235.0,0.0,290.0,N,CH,CH-195,/Users/mc/Desktop/Programmes/sales_analysis/data/items/../../static/Made To Order (Special Order)/Crystal And Glass/CS/CH-195.jpg,Rule 3,Crystal & Glass
CM-1384,Mirror 130*80*4mm,11.0,0.0,11.6,N,CM,,/app/static/no_image/no_image.png,,Others
CM-1584,Mirror 150*80*4mm,11.7,0.0,13.5,N,CM,,/app/static/no_image/no_image.png,,Others
CM-1884,Mirror 180*80*4mm,14.0,0.0,14.8,N,CM,,/app/static/no_image/no_image.png,,Others
