"ITEM NUMBER","DESCRIPTION","SUPPLIER","DOCNO","REFNO","DATE","QUANTITY","PRICE","TOTAL"
"CS-026Y-L","TR ROUND YELLOW SIDES 270M","KWC000 KWC","000001","000001","17/11/2023","64.00","262.00","16768.00"
"CS-026Y-L","TR ROUND YELLOW SIDES 270M","KWC000 KWC","000006","000006","20/06/2024","128.00","279.00","35712.00"
"CS-026Y-M","TR ROUND YELLOW SIDES 245M","KWC000 KWC","000006","000006","20/06/2024","128.00","247.00","31616.00"
"CS-026Y-S","TR ROUND YELLOW SIDES 225M","KWC000 KWC","000006","000006","20/06/2024","128.00","223.00","28544.00"
"CS-06B-L","BLUE STAR TO LEFT & BLUE/B","KWC000 KWC","000004","000004","28/02/2024","96.00","337.00","32352.00"
"CS-06B-M","BLUE STAR TO LEFT & BLUE/B","KWC000 KWC","000004","000004","28/02/2024","96.00","300.00","28800.00"
"CS-06B-M","BLUE STAR TO LEFT & BLUE/B","KWC000 KWC","000009","000009","08/10/2024","120.00","280.00","33600.00"
"CS-06B-S","BLUE STAR TO LEFT & BLUE/B","KWC000 KWC","000009","000009","08/10/2024","120.00","245.00","29400.00"
"CS-08B-L","LONG STAR BLUE BASE 285MM(","KWC000 KWC","000004","000004","28/02/2024","96.00","263.00","25248.00"
"CS-08B-M","LONG STAR BLUE BASE 250MM(","KWC000 KWC","000009","000009","08/10/2024","120.00","196.00","23520.00"
"CS-08B-S","LONG STAR BLUE BASE 230MM(","KWC000 KWC","000009","000009","08/10/2024","100.00","168.00","16800.00"
"CS-101040-B","BLK SQUARE BASE 100*100*40","KWC000 KWC","000006","000006","20/06/2024","200.00","231.00","46200.00"
"CS-101040-B","BLK SQUARE BASE 100*100*40","KWC000 KWC","000009","000009","08/10/2024","200.00","203.00","40600.00"
"CS-101040-C","CLR SQUARE BASE 100*100*40","KWC000 KWC","000006","000006","20/06/2024","100.00","167.00","16700.00"
"CS-101040-C","CLR SQUARE BASE 100*100*40","KWC000 KWC","000009","000009","08/10/2024","200.00","147.00","29400.00"
"CS-1255025","CLEAR BASE 125*50*25MM","KWC000 KWC","000003","000003","21/11/2023","1000.00","64.00","64000.00"
"CS-135025","CLEAR BASE 130*50*25 MM","KWC000 KWC","000009","000009","08/10/2024","300.00","63.00","18900.00"
"CS-137030-B","BLK RECTANGLE BASE 130*70*","KWC000 KWC","000009","000009","08/10/2024","200.00","130.00","26000.00"
"CS-137030-C","CLR RECTANGEL BASE 130*70*","KWC000 KWC","000006","000006","20/06/2024","200.00","111.00","22200.00"
"CS-137030-C","CLR RECTANGEL BASE 130*70*","KWC000 KWC","000009","000009","08/10/2024","160.00","98.00","15680.00"
"CS-158010-C","CLEAR BASE 150*80*12MM","KWC000 KWC","000006","000006","20/06/2024","200.00","28.00","5600.00"
"CS-168035-B","BLK RECTANGLE BASE 160*80*","KWC000 KWC","000009","000009","08/10/2024","100.00","193.00","19300.00"
"CS-184-L","CURVED TROPHY 270MM (H)","KWC000 KWC","000001","000001","17/11/2023","120.00","412.00","49440.00"
"CS-184-M","CURVED TROPHY 250MM (H)","KWC000 KWC","000001","000001","17/11/2023","60.00","345.00","20700.00"
"CS-184-S","CURVED TROPHY 225MM (H)","KWC000 KWC","000001","000001","17/11/2023","120.00","315.00","37800.00"
"CS-195A-L","BULKY PILLAR TR 190MM (H)","KWC000 KWC","000004","000004","28/02/2024","100.00","270.00","27000.00"
"CS-195A-M","BULKY PILLAR TR 160MM (H)","KWC000 KWC","000004","000004","28/02/2024","100.00","240.00","24000.00"
"CS-195A-S","BULKY PILLAR TR 130MM (H)","KWC000 KWC","000004","000004","28/02/2024","100.00","210.00","21000.00"
"CS-206030-C","CLEAR BASE 200*60*30MM","KWC000 KWC","000004","000004","28/02/2024","240.00","112.00","26880.00"
"CS-2HB-L","SCROLL TYPE BLUE 255MM(H)","KWC000 KWC","000001","000001","17/11/2023","80.00","203.00","16240.00"
"CS-2HB-L","SCROLL TYPE BLUE 255MM(H)","KWC000 KWC","000009","000009","08/10/2024","120.00","189.00","22680.00"
"CS-2HB-M","SCROLL TYPE BLUE 225MM(H)","KWC000 KWC","000001","000001","17/11/2023","84.00","173.00","14532.00"
"CS-2HB-M","SCROLL TYPE BLUE 225MM(H)","KWC000 KWC","000009","000009","08/10/2024","120.00","161.00","19320.00"
"CS-2HB-XL","SCROLL TYPE BLUE 275MM(H)","KWC000 KWC","000001","000001","17/11/2023","40.00","233.00","9320.00"
"CS-2HB-XL","SCROLL TYPE BLUE 275MM(H)","KWC000 KWC","000009","000009","08/10/2024","100.00","217.00","21700.00"
"CS-44-L","OVALISH SHIELD 220MM (H)","KWC000 KWC","000001","000001","17/11/2023","120.00","172.00","20640.00"
"CS-44-L","OVALISH SHIELD 220MM (H)","KWC000 KWC","000004","000004","28/02/2024","100.00","172.00","17200.00"
"CS-44-L","OVALISH SHIELD 220MM (H)","KWC000 KWC","000009","000009","08/10/2024","200.00","161.00","32200.00"
"CS-44-M","OVALISH SHIELD 200MM (H)","KWC000 KWC","000004","000004","28/02/2024","100.00","150.00","15000.00"
"CS-44-M","OVALISH SHIELD 200MM (H)","KWC000 KWC","000009","000009","08/10/2024","200.00","140.00","28000.00"
"CS-44-S","OVALISH SHIELD 160MM (H)","KWC000 KWC","000001","000001","17/11/2023","120.00","112.00","13440.00"
"CS-44-S","OVALISH SHIELD 160MM (H)","KWC000 KWC","000009","000009","08/10/2024","200.00","105.00","21000.00"
"CS-45-L","PRESTIGES LIKE 220MM (H)","KWC000 KWC","000001","000001","17/11/2023","96.00","172.00","16512.00"
"CS-45-L","PRESTIGES LIKE 220MM (H)","KWC000 KWC","000006","000006","20/06/2024","192.00","183.00","35136.00"
"CS-45-M","PRESTIGES LIKE 200MM (H)","KWC000 KWC","000001","000001","17/11/2023","96.00","150.00","14400.00"
"CS-45-M","PRESTIGES LIKE 200MM (H)","KWC000 KWC","000006","000006","20/06/2024","180.00","159.00","28620.00"
"CS-45-S","PRESTIGES LIKE 165MM (H)","KWC000 KWC","000004","000004","28/02/2024","100.00","113.00","11300.00"
"CS-45-S","PRESTIGES LIKE 165MM (H)","KWC000 KWC","000006","000006","20/06/2024","100.00","120.00","12000.00"
"CS-50-L","FLAME TROPHY 215MM (H)","KWC000 KWC","000001","000001","17/11/2023","120.00","191.00","22920.00"
"CS-50-L","FLAME TROPHY 215MM (H)","KWC000 KWC","000004","000004","28/02/2024","120.00","191.00","22920.00"
"CS-50-L","FLAME TROPHY 215MM (H)","KWC000 KWC","000009","000009","08/10/2024","300.00","179.00","53700.00"
"CS-50-M","FLAME TROPHY 200MM (H)","KWC000 KWC","000001","000001","17/11/2023","46.00","169.00","7774.00"
"CS-50-M","FLAME TROPHY 200MM (H)","KWC000 KWC","000004","000004","28/02/2024","120.00","169.00","20280.00"
"CS-50-M","FLAME TROPHY 200MM (H)","KWC000 KWC","000009","000009","08/10/2024","240.00","158.00","37920.00"
"CS-50-S","FLAME TROPHY 160MM (H)","KWC000 KWC","000001","000001","17/11/2023","60.00","131.00","7860.00"
"CS-50-S","FLAME TROPHY 160MM (H)","KWC000 KWC","000004","000004","28/02/2024","120.00","131.00","15720.00"
"CS-50-S","FLAME TROPHY 160MM (H)","KWC000 KWC","000009","000009","08/10/2024","240.00","123.00","29520.00"
"CS-55-L","FLAT SHIELD GREEN 225MM(H)","KWC000 KWC","000004","000004","28/02/2024","100.00","191.00","19100.00"
"CS-55-M","FLAT SHIELD GREEN 200MM(H)","KWC000 KWC","000004","000004","28/02/2024","120.00","169.00","20280.00"
"CS-55-M","FLAT SHIELD GREEN 200MM(H)","KWC000 KWC","000009","000009","08/10/2024","120.00","158.00","18960.00"
"CS-55-S","FLAT SHIELD GREEN 170MM(H)","KWC000 KWC","000004","000004","28/02/2024","100.00","131.00","13100.00"
"CS-55-S","FLAT SHIELD GREEN 170MM(H)","KWC000 KWC","000009","000009","08/10/2024","120.00","123.00","14760.00"
"CS-56-L","LEAF SHAPE W/ GREEN 230MM","KWC000 KWC","000006","000006","20/06/2024","100.00","202.00","20200.00"
"CS-56-M","LEAF SHAPE W/ GREEN 210MM","KWC000 KWC","000006","000006","20/06/2024","100.00","179.00","17900.00"
"CS-56-S","LEAF SHAPE W/ GREEN 170MM","KWC000 KWC","000006","000006","20/06/2024","100.00","139.00","13900.00"
"CS-59-1L","BADGE SHIELD & WREATH 250M","KWC000 KWC","000001","000001","17/11/2023","50.00","217.00","10850.00"
"CS-59-1L","BADGE SHIELD & WREATH 250M","KWC000 KWC","000006","000006","20/06/2024","120.00","231.00","27720.00"
"CS-59-1M","BADGE SHIELD & WREATH 230M","KWC000 KWC","000001","000001","17/11/2023","48.00","187.00","8976.00"
"CS-59-1M","BADGE SHIELD & WREATH 230M","KWC000 KWC","000006","000006","20/06/2024","120.00","199.00","23880.00"
"CS-59-1S","BADGE SHIELD & WREATH 210M","KWC000 KWC","000001","000001","17/11/2023","48.00","150.00","7200.00"
"CS-59-1S","BADGE SHIELD & WREATH 210M","KWC000 KWC","000006","000006","20/06/2024","120.00","159.00","19080.00"
"CS-65-L","SHARP DIAMOND W/WREATH; BL","KWC000 KWC","000006","000006","20/06/2024","100.00","215.00","21500.00"
"CS-65-M","SHARP DIAMOND W/WREATH; BL","KWC000 KWC","000006","000006","20/06/2024","100.00","191.00","19100.00"
"CS-65-S","SHARP DIAMOND W/WREATH; BL","KWC000 KWC","000006","000006","20/06/2024","100.00","152.00","15200.00"
"CS-66-L","SQUARE W/ WREATH; BLUE PIE","KWC000 KWC","000006","000006","20/06/2024","100.00","215.00","21500.00"
"CS-66-M","SQUARE W/ WREATH; BLUE PIE","KWC000 KWC","000006","000006","20/06/2024","100.00","191.00","19100.00"
"CS-66-S","SQUARE W/ WREATH; BLUE PIE","KWC000 KWC","000006","000006","20/06/2024","100.00","152.00","15200.00"
"CS-67-L","SHIELD ROUNDED BOTTOM W/ W","KWC000 KWC","000006","000006","20/06/2024","100.00","215.00","21500.00"
"CS-67-M","SHIELD ROUNDED BOTTOM W/ W","KWC000 KWC","000006","000006","20/06/2024","100.00","191.00","19100.00"
"CS-67-S","SHIELD ROUNDED BOTTOM W/ W","KWC000 KWC","000006","000006","20/06/2024","100.00","152.00","15200.00"
"CS-68-L","SHIELD W/ WREATH; BLACK PI","KWC000 KWC","000006","000006","20/06/2024","100.00","215.00","21500.00"
"CS-68-M","SHIELD W/ WREATH; BLACK PI","KWC000 KWC","000006","000006","20/06/2024","100.00","191.00","19100.00"
"CS-68-S","SHIELD W/ WREATH; BLACK PI","KWC000 KWC","000006","000006","20/06/2024","100.00","152.00","15200.00"
"CS-808028-L","CLEAR BASE LED LIGHT 80*80","KWC000 KWC","000009","000009","08/10/2024","190.00","88.00","16720.00"
"CS-810","SLANTED BLOCK W/ BLUE STAR","KWC000 KWC","000006","000006","20/06/2024","100.00","461.00","46100.00"
"CS-814","BIG PRESTIGE TROPHY 255MM","KWC000 KWC","000006","000006","20/06/2024","60.00","382.00","22920.00"
"CS-815","PILLAR W/ BLUE EARTH BALL","KWC000 KWC","000006","000006","20/06/2024","100.00","382.00","38200.00"
"CS-816","ROUND PILLAR W/ CROWN 275M","KWC000 KWC","000006","000006","20/06/2024","60.00","438.00","26280.00"
"CS-8830","CLEAR BASE 80*80*30 MM","KWC000 KWC","000004","000004","28/02/2024","250.00","68.00","17000.00"
"CS-8830","CLEAR BASE 80*80*30 MM","KWC000 KWC","000009","000009","08/10/2024","200.00","67.00","13400.00"
"CS-A70","SHIELD SHAPE 220MM(H)","KWC000 KWC","000001","000001","17/11/2023","90.00","345.00","31050.00"
"CS-A70B","SHIELD W/BLACK BASE 220MM(","KWC000 KWC","000001","000001","17/11/2023","120.00","345.00","41400.00"
"CS-A7-L","SLANTED HEXAGON 230MM(H)","KWC000 KWC","000001","000001","17/11/2023","120.00","270.00","32400.00"
"CS-A7-L","SLANTED HEXAGON 230MM(H)","KWC000 KWC","000006","000006","20/06/2024","100.00","286.00","28600.00"
"CS-A7-M","SLANTED HEXAGON 200MM(H)","KWC000 KWC","000006","000006","20/06/2024","100.00","263.00","26300.00"
"CS-A7-S","SLANTED HEXAGON 190MM(H)","KWC000 KWC","000006","000006","20/06/2024","100.00","223.00","22300.00"
"CS-BA100","100MM DIAMOND ON BASE 115M","KWC000 KWC","000004","000004","28/02/2024","120.00","151.00","18120.00"
"CS-BB12-L","TRIANGLE TYPE ON BASE 240M","KWC000 KWC","000001","000001","17/11/2023","120.00","315.00","37800.00"
"CS-BB12-L","TRIANGLE TYPE ON BASE 240M","KWC000 KWC","000006","000006","20/06/2024","100.00","334.00","33400.00"
"CS-BB12-L","TRIANGLE TYPE ON BASE 240M","KWC000 KWC","000009","000009","08/10/2024","120.00","294.00","35280.00"
"CS-BB12-M","TRIANGLE TYPE ON BASE 225M","KWC000 KWC","000006","000006","20/06/2024","144.00","286.00","41184.00"
"CS-BB12-M","TRIANGLE TYPE ON BASE 225M","KWC000 KWC","000009","000009","08/10/2024","120.00","252.00","30240.00"
"CS-BB12-S","TRIANGLE TYPE ON BASE 200M","KWC000 KWC","000004","000004","28/02/2024","144.00","232.00","33408.00"
"CS-BB12-S","TRIANGLE TYPE ON BASE 200M","KWC000 KWC","000009","000009","08/10/2024","132.00","217.00","28644.00"
"CS-C-4","SHIELD & BLUE SCROLL 160MM","KWC000 KWC","000006","000006","20/06/2024","200.00","111.00","22200.00"
"CS-C-65","OCTAGON & BLUE SCROLL 155M","KWC000 KWC","000004","000004","28/02/2024","240.00","108.00","25920.00"
"CS-C-65","OCTAGON & BLUE SCROLL 155M","KWC000 KWC","000009","000009","08/10/2024","300.00","98.00","29400.00"
"CS-C-8","FLAME & BLUE SCROLL 175MM","KWC000 KWC","000004","000004","28/02/2024","240.00","108.00","25920.00"
"CS-C-8","FLAME & BLUE SCROLL 175MM","KWC000 KWC","000009","000009","08/10/2024","300.00","98.00","29400.00"
"CS-CB80","CLEAR BALL 80MM","KWC000 KWC","000006","000006","20/06/2024","240.00","100.00","24000.00"
"CS-CG01","CLEAR: UV LIGHT GLUE BOTTE","KWC000 KWC","000006","000006","20/06/2024","40.00","620.00","24800.00"
"CS-CR4-S","TR W/DIAMOND 250MM(H)**","KWC000 KWC","000001","000001","17/11/2023","72.00","338.00","24336.00"
"CS-D100","CLEAR DIAMOND 100MM (DIAM)","KWC000 KWC","000001","000001","17/11/2023","108.00","76.00","8208.00"
"CS-D100","CLEAR DIAMOND 100MM (DIAM)","KWC000 KWC","000009","000009","08/10/2024","108.00","74.00","7992.00"
"CS-D58","80MM DIAMOND ON CUBE 165MM","KWC000 KWC","000006","000006","20/06/2024","200.00","167.00","33400.00"
"CS-D80","CLEAR DIAMOND 80MM (DIAM)","KWC000 KWC","000006","000006","20/06/2024","200.00","43.00","8600.00"
"CS-EW01-BZ","BZ EAGLE WING GLASS TR 280","KWC000 KWC","000004","000004","28/02/2024","80.00","252.00","20160.00"
"CS-EW01-GD","GD EAGLE WING GLASS TR 280","KWC000 KWC","000004","000004","28/02/2024","80.00","252.00","20160.00"
"CS-EW01-SV","SV EAGLE WING GLASS TR 280","KWC000 KWC","000004","000004","28/02/2024","80.00","252.00","20160.00"
"CS-FH-5L","SQUARISH BLUE PIECE 265MM(","KWC000 KWC","000006","000006","20/06/2024","100.00","254.00","25400.00"
"CS-FH-5M","SQUARISH BLUE PIECE 230MM(","KWC000 KWC","000006","000006","20/06/2024","100.00","191.00","19100.00"
"CS-FH-5S","SQUARISH BLUE PIECE 180MM(","KWC000 KWC","000006","000006","20/06/2024","100.00","120.00","12000.00"
"CS-GB80","GOLF BALL 80MM (DIAM)","KWC000 KWC","000006","000006","20/06/2024","200.00","100.00","20000.00"
"CS-GM70P","CLEAR GLASS MEDAL 70MM (DI","KWC000 KWC","000006","000006","20/06/2024","300.00","34.00","10200.00"
"CS-GM70P","CLEAR GLASS MEDAL 70MM (DI","KWC000 KWC","000009","000009","08/10/2024","1200.00","29.00","34800.00"
"CS-GR05-B","FLAME FROST BLUE RND/B 270","KWC000 KWC","000001","000001","17/11/2023","80.00","435.00","34800.00"
"CS-GR05-B","FLAME FROST BLUE RND/B 270","KWC000 KWC","000006","000006","20/06/2024","100.00","461.00","46100.00"
"CS-GU-1","MOSQUE SHAPE 240*230MM","KWC000 KWC","000003","000003","21/11/2023","60.00","255.00","15300.00"
"CS-H-1","8 SIDE DB/BASE 190MM 160MM","KWC000 KWC","000004","000004","28/02/2024","120.00","187.00","22440.00"
"CS-H-1","8 SIDE DB/BASE 190MM 160MM","KWC000 KWC","000009","000009","08/10/2024","100.00","175.00","17500.00"
"CS-H-15","LEAVE DB/BASE 220MM(H)","KWC000 KWC","000001","000001","17/11/2023","72.00","187.00","13464.00"
"CS-H-15","LEAVE DB/BASE 220MM(H)","KWC000 KWC","000006","000006","20/06/2024","120.00","199.00","23880.00"
"CS-H-15","LEAVE DB/BASE 220MM(H)","KWC000 KWC","000009","000009","08/10/2024","200.00","175.00","35000.00"
"CS-H-2","SHIELD FLAT TOP DB/BASE 21","KWC000 KWC","000004","000004","28/02/2024","120.00","187.00","22440.00"
"CS-H-2","SHIELD FLAT TOP DB/BASE 21","KWC000 KWC","000009","000009","08/10/2024","120.00","175.00","21000.00"
"CS-H-20","FLAME DB/BASE 210MM (H)","KWC000 KWC","000001","000001","17/11/2023","120.00","187.00","22440.00"
"CS-H-20","FLAME DB/BASE 210MM (H)","KWC000 KWC","000006","000006","20/06/2024","240.00","199.00","47760.00"
"CS-H280-L","SPEAR BLACK BASE 300MM(H)","KWC000 KWC","000001","000001","17/11/2023","60.00","450.00","27000.00"
"CS-H280-L","SPEAR BLACK BASE 300MM(H)","KWC000 KWC","000004","000004","28/02/2024","112.00","450.00","50400.00"
"CS-H280-M","SPEAR BLACK BASE 260MM(H)","KWC000 KWC","000001","000001","17/11/2023","180.00","360.00","64800.00"
"CS-H280-S","SPEAR BLACK BASE 225MM(H)","KWC000 KWC","000009","000009","08/10/2024","100.00","259.00","25900.00"
"CS-H-3","ROUND DB/BASE 190MM 160MM(","KWC000 KWC","000004","000004","28/02/2024","120.00","187.00","22440.00"
