TYPE,DOCNO,ORDERNO,ODATE,RDATE,IDATE,REPCODE,STATUS,DESCRIP,ACCNO,CLIENT,ADDR1,ADDR2,ADDR3,PCODE,CORDER,CHECKER,REPCNT,PTYPE,QUOTENO,DEL,USER,EUSER,TIME,DOCNDX,DNAME,DADDR1,DADDR2,DADDR3,DINSTR1,DINSTR2,DINSTR3,EXCODE,EXRATE,DELIVER,CONSIGN
O,001421,001421,2024-06-20,2024-06-20,1899-12-30,001,C,,CWMT01,COUNTRY WIDE MEDALS & TROPHIES,66 WEPENER STREET,BOOYSENS,,2091,,,2,1,,,ESTHER,ESTHER,08:31,O001421,CWDAVID.FELDMAN@GMAIL.COM,P.O BOX 82433,SOUTHDALE,2135,CWRECEPTION@MWEB.CO.ZA,,,00,1.0,C,N
O,001422,001422,2024-06-20,2024-06-20,1899-12-30,001,I,,MSB010,MDLAYI SPORTS BRAND,20685 ORINOCO CRESCENT,PROTEA GLEN EXT 20 SOWETO,GAUTENG,1818,,ESTHER,1,1,,,ESTHER,ESTHER,11:06,O001422,,,,,TROPHIES.BADGES@GMAIL.COM,,,00,1.0,C,N
I,001449,001422,1899-12-30,1899-12-30,2024-06-20,001,,,MSB010,MDLAYI SPORTS BRAND,20685 ORINOCO CRESCENT,PROTEA GLEN EXT 20 SOWETO,GAUTENG,1818,,,0,1,,,,,,I001422,,,,,,,,00,1.0,,
O,001423,001423,2024-06-20,2024-06-20,1899-12-30,003,I,,PA0400,PRESTIGE AWARDS (PTY) LTD,419 CORK AVE,"FERNDALE, RANDBURG",,,,BIANCA P,1,1,,,BIANCA P,BIANCA P,13:37,O001423,,P.O. BOX 444,FERNDALE 2160,LESLEY/JENNY,JENNY / FIONA,,,00,1.0,C,N
I,001450,001423,1899-12-30,1899-12-30,2024-06-20,003,,,PA0400,PRESTIGE AWARDS (PTY) LTD,419 CORK AVE,"FERNDALE, RANDBURG",,,,,0,1,,,,,,I001423,,,,,,,,00,1.0,,
O,001424,001424,2024-06-20,2024-06-20,1899-12-30,001,I,,3DCC01,3D CRYSTAL CREATIONS,27 SAXENBURG CRESENT,OAKGLENN,BELLVILLE,7530,,ESTHER,2,1,,,ESTHER,ESTHER,15:08,O001424,,*DIFFICULT CLIENT = QLTY,,,,,,00,1.0,C,N
O,001425,001425,2024-06-20,2024-06-20,1899-12-30,003,C,,AGU010,AWARDS & GIFTS UNLIMITED,(JABULANI NHLAMBA),"P.O.BOX AD 838 ADD,KGALE",KWC CUSTOMS: 1462245,,,,2,1,,,BIANCA P,BIANCA P,15:08,O001425,"PLOT104, UNIT5, COMMERCE PARK,GABORONE",BOTSWANA...OMEGA COURIERS,WRIGHT@OMEGACOURIERS.CO.ZA,011 781 1920 - WRIGHT,AWARDS @ GIFTS UNLIMITED,,,00,1.0,C,N
O,001426,001426,2024-06-20,2024-06-20,1899-12-30,001,I,,SN0200,TROJAN GLASSWORKS CC,"NGWENYA GLASS VILLAGE,",C/O BEYERS NAUDE&R114 DIEPSLOT,MULDERSDRIFT;,1747,,ESTHER,1,1,,,ESTHER,ESTHER,15:11,O001426,(MONIQUE),P.O.BOX 321,MULDERSDRIFT 1747,BUZZ: 082-785-7397,,,,00,1.0,C,N
O,001427,001427,2024-06-20,2024-06-20,1899-12-30,003,I,,IT0100,ITROPHIES (PTY) LTD,80 MAIN ROAD,FARRAMERE,BENONI,,,BIANCA P,1,1,,,BIANCA P,BIANCA P,15:16,O001427,,,,,,,,00,1.0,C,N
O,001428,001428,2024-06-20,2024-06-20,1899-12-30,001,C,,MM0200,ON 68 PRETORIA ROAD,T/A MOMENTUS MOMENTS,68 PRETORIA ROAD,RYNFIELD; BENONI,1501,,,3,1,,,ESTHER,ESTHER,15:45,O001428,OLD OWNER: JUDESM@TELKOMSA.NET,ACCOUNT CREATED 23/01/2017,OLD: 7 DOUGLAS AVE,"           FARRARMERE, BENONI",,,,00,1.0,C,N
