ENTRY,PERIOD,DOCNO,DATE,STOCKNO,QTY,REF,ORDERNO,ACCNO,RETAIL,COST,DISC,REP,USER,LOCATION,EXCODE,FRETAIL,FCOST
I,1,000001,2023-10-02,LD-GT01-L,9.0,,000006,TDG020,134.3,158.0,0.0,003,BIANCA P,00,00,134.3,0.0
I,1,000001,2023-10-02,LD-GT01-M,9.0,,000006,TDG020,122.4,144.0,0.0,003,BIANCA P,00,00,122.4,0.0
I,1,000001,2023-10-02,LD-GT01-S,9.0,,000006,TDG020,110.5,130.0,0.0,003,BIANCA P,00,00,110.5,0.0
I,1,000002,2023-10-02,CS-PRI-01,15.0,RNS (BLUE),000012,TDG020,242.25,285.0,0.0,003,BIANCA P,00,00,242.25,0.0
I,1,000003,2023-10-02,CS-PP102R-L,11.0,ALLIGATOR,000007,TDG020,267.75,315.0,0.0,003,BIANCA P,00,00,267.75,0.0
N,1,000001,2023-10-02,CS-55-L,28.0,,QTY,,0.0,191.0,0.0,,BIANCA,00,00,0.0,0.0
N,1,000002,2023-10-02,CS-55-M,15.0,,QTY,,0.0,169.0,0.0,,BIANCA,00,00,0.0,0.0
N,1,000003,2023-10-02,CS-55-S,12.0,,QTY,,0.0,131.0,0.0,,BIANCA,00,00,0.0,0.0
N,1,000004,2023-10-02,CS-H-3,20.0,,QTY,,0.0,187.0,0.0,,BIANCA,00,00,0.0,0.0
I,1,000004,2023-10-02,JL-7872G-A,10.0,,000005,TE0300,156.4,184.0,0.0,003,BIANCA P,00,00,156.4,0.0
I,1,000004,2023-10-02,JL-7872G-B,10.0,,000005,TE0300,129.2,152.0,0.0,003,BIANCA P,00,00,129.2,0.0
I,1,000004,2023-10-02,JL-7872G-C,10.0,,000005,TE0300,102.0,120.0,0.0,003,BIANCA P,00,00,102.0,0.0
I,1,000004,2023-10-02,CS-PP102R-S,6.0,,000005,TE0300,197.2,232.0,0.0,003,BIANCA P,00,00,197.2,0.0
I,1,000004,2023-10-02,CS-CG01,1.0,,000005,TE0300,489.6,576.0,0.0,003,BIANCA P,00,00,489.6,0.0
I,1,000004,2023-10-02,CS-55-L,5.0,,000005,TE0300,162.35,191.0,0.0,003,BIANCA P,00,00,162.35,0.0
I,1,000004,2023-10-02,CS-55-M,5.0,,000005,TE0300,143.65,169.0,0.0,003,BIANCA P,00,00,143.65,0.0
I,1,000004,2023-10-02,CS-55-S,5.0,,000005,TE0300,111.35,131.0,0.0,003,BIANCA P,00,00,111.35,0.0
I,1,000004,2023-10-02,CS-59-1L,5.0,,000005,TE0300,184.45,217.0,0.0,003,BIANCA P,00,00,184.45,0.0
I,1,000004,2023-10-02,CS-59-1M,5.0,,000005,TE0300,158.95,187.0,0.0,003,BIANCA P,00,00,158.95,0.0
I,1,000004,2023-10-02,CS-59-1S,5.0,,000005,TE0300,127.5,150.0,0.0,003,BIANCA P,00,00,127.5,0.0
I,1,000004,2023-10-02,CS-C-4,5.0,,000005,TE0300,91.8,108.0,0.0,003,BIANCA P,00,00,91.8,0.0
I,1,000004,2023-10-02,CS-C-8,5.0,,000005,TE0300,91.8,108.0,0.0,003,BIANCA P,00,00,91.8,0.0
I,1,000004,2023-10-02,CS-C-65,5.0,,000005,TE0300,91.8,108.0,0.0,003,BIANCA P,00,00,91.8,0.0
I,1,000004,2023-10-02,CS-H-1,5.0,,000005,TE0300,158.95,187.0,0.0,003,BIANCA P,00,00,158.95,0.0
I,1,000004,2023-10-02,CS-H-2,5.0,,000005,TE0300,158.95,187.0,0.0,003,BIANCA P,00,00,158.95,0.0
I,1,000004,2023-10-02,CS-H-3,5.0,,000005,TE0300,158.95,187.0,0.0,003,BIANCA P,00,00,158.95,0.0
I,1,000004,2023-10-02,CS-H-5,5.0,,000005,TE0300,158.95,187.0,0.0,003,BIANCA P,00,00,158.95,0.0
