"YEAR:","CURRENT"
"REPORT:","COMPLETE REPORT"
"CATEGORY:",""
"ITEM NUMBER:",""
"ACCOUNT NUMBER:",""
"SALES REP:",""
"LOCATION:","ALL LOCATIONS"

"ITEM NUMBER","DESCRIPTION","REP","DOCNO","ACCNO","DATE","QUANTITY","RETAIL","COST","GROSS","%"
"AF-02","AIRFREIGHT CHARGE","002","000119","SN0200","17/06/2025","-29","-6121","-1450","-4671","76.3"
"AF-02","AIRFREIGHT CHARGE","002","000120","SN0200","17/06/2025","-26","-5323","-1310","-4013","75.4"
"AF-02","AIRFREIGHT CHARGE","002","000510","SN0200","28/11/2023","36","5746","1800","3946","68.7"
"AF-02","AIRFREIGHT CHARGE","003","001815","SN0200","29/08/2024","1","19152","50","19102","99.7"
"AF-02","AIRFREIGHT CHARGE","002","001959","SN0200","19/09/2024","5","2058","225","1833","89.1"
"AF-02","AIRFREIGHT CHARGE","002","003511","SN0200","17/06/2025","29","6121","1450","4671","76.3"
"AF-02","AIRFREIGHT CHARGE","002","003515","SN0200","17/06/2025","26","5323","1310","4013","75.4"
"AF-02","AIRFREIGHT CHARGE","002","003517","SN0200","17/06/2025","26","6121","1310","4811","78.6"
"AF-02","AIRFREIGHT CHARGE","002","003542","SN0200","23/06/2025","26","5914","1300","4614","78.0"
"AF-02","AIRFREIGHT CHARGE","002","003715","SN0200","31/07/2025","126","16920","6300","10620","62.8"
"AF-02","AIRFREIGHT CHARGE","002","004040","SN0200","23/09/2025","1","4200","50","4150","98.8"
"TOTALS:","","","","","","221","60111","11035","49076","81.6"
"ARTWORK","ONCE OFF ARTWORK","002","003263","TDG020","17/04/2025","1","800","200","600","75.0"
"ARTWORK","ONCE OFF ARTWORK","002","003936","TDG020","09/09/2025","2","2200","400","1800","81.8"
"TOTALS:","","","","","","3","3000","600","2400","80.0"
"CC01","COURIER CHARGES","003","000094","COS010","12/10/2023","1","641","10","631","98.4"
"CC01","COURIER CHARGES","001","000109","LAC010","16/10/2023","1","196","10","186","94.9"
"CC01","COURIER CHARGES","003","000502","COS010","27/11/2023","1","96","10","86","89.6"
"CC01","COURIER CHARGES","003","001304","COS010","09/05/2024","1","389","10","379","97.4"
"CC01","COURIER CHARGES","003","003269","COS010","22/04/2025","1","235","10","225","95.8"
"CC01","COURIER CHARGES","003","004214","COS010","17/10/2025","1","730","10","720","98.6"
"TOTALS:","","","","","","6","2288","60","2228","97.4"
"CR-P32-2","GOLD CUP RUBY RED 400MM(H)","001","000314","UBMM01","08/11/2023","1","152","157","-5","-3.1"
"CR-P32-2","GOLD CUP RUBY RED 400MM(H)","001","000429","UBMM01","20/11/2023","1","152","157","-5","-3.1"
"CR-P32-2","GOLD CUP RUBY RED 400MM(H)","001","001002","UBMM01","11/03/2024","1","63","157","-94","-150.0"
"CR-P32-2","GOLD CUP RUBY RED 400MM(H)","001","003087","UBMM01","12/03/2025","1","146","157","-11","-7.5"
"TOTALS:","","","","","","4","513","628","-115","-22.3"
"CR-P32-3","GOLD CUP RUBY RED 460MM(H)","001","000136","TC0700","18/10/2023","6","1004","1116","-112","-11.1"
"CR-P32-3","GOLD CUP RUBY RED 460MM(H)","001","000234","UBMM01","31/10/2023","1","180","186","-6","-3.1"
"CR-P32-3","GOLD CUP RUBY RED 460MM(H)","001","000314","UBMM01","08/11/2023","1","180","186","-6","-3.1"
"CR-P32-3","GOLD CUP RUBY RED 460MM(H)","003","001453","TT0700","21/06/2024","1","171","186","-15","-8.7"
"CR-P32-3","GOLD CUP RUBY RED 460MM(H)","001","001490","PRJ010","01/07/2024","1","186","186","0","0.0"
"CR-P32-3","GOLD CUP RUBY RED 460MM(H)","001","003087","UBMM01","12/03/2025","1","173","186","-13","-7.5"
"TOTALS:","","","","","","11","1895","2046","-151","-7.9"
"CR-SL048-2","GOLD CUP SILVER PILLAR 330MM","003","003735","FDS010","04/08/2025","2","202","220","-18","-8.7"
"TOTALS:","","","","","","2","202","220","-18","-8.7"
"CR-SL048-3","GOLD CUP SILVER PILLAR 385MM","003","002996","LYE010","27/02/2025","1","128","139","-11","-8.7"
"TOTALS:","","","","","","1","128","139","-11","-8.7"
"CR-SL101-3","SILVER & BLACK CHALISE 390MM","003","000578","TB0100","04/12/2023","4","489","556","-67","-13.6"
"CR-SL101-3","SILVER & BLACK CHALISE 390MM","003","000892","TE0300","20/02/2024","25","2954","3475","-521","-17.6"
"CR-SL101-3","SILVER & BLACK CHALISE 390MM","003","001467","TB0100","25/06/2024","5","612","695","-83","-13.6"
"CR-SL101-3","SILVER & BLACK CHALISE 390MM","003","002121","LYE010","14/10/2024","3","384","417","-33","-8.7"
"TOTALS:","","","","","","37","4438","5143","-705","-15.9"
