"YEAR:","CURRENT"
"REPORT:","COMPLETE REPORT"
"CATEGORY:",""
"ITEM NUMBER:",""
"ACCOUNT NUMBER:",""
"SALES REP:",""
"LOCATION:","ALL LOCATIONS"

"ITEM NUMBER","DESCRIPTION","REP","DOCNO","ACCNO","DATE","QUANTITY","RETAIL","COST","GROSS","%"
"AF-02","AIRFREIGHT CHARGE","002","000510","SN0200","28/11/2023","36","5746","1800","3946","68.7"
"TOTALS:","","","","","","36","5746","1800","3946","68.7"
"CC01","COURIER CHARGES","003","000094","COS010","12/10/2023","1","641","10","631","98.4"
"CC01","COURIER CHARGES","001","000109","LAC010","16/10/2023","1","196","10","186","94.9"
"CC01","COURIER CHARGES","003","000502","COS010","27/11/2023","1","96","10","86","89.6"
"CC01","COURIER CHARGES","003","001304","COS010","09/05/2024","1","389","10","379","97.4"
"TOTALS:","","","","","","4","1322","40","1282","97.0"
"CR-P32-2","GOLD CUP RUBY RED 400MM(H)","001","000314","UBMM01","08/11/2023","1","152","157","-5","-3.1"
"CR-P32-2","GOLD CUP RUBY RED 400MM(H)","001","000429","UBMM01","20/11/2023","1","152","157","-5","-3.1"
"CR-P32-2","GOLD CUP RUBY RED 400MM(H)","001","001002","UBMM01","11/03/2024","1","63","157","-94","-150.0"
"TOTALS:","","","","","","3","367","471","-104","-28.2"
"CR-P32-3","GOLD CUP RUBY RED 460MM(H)","001","000136","TC0700","18/10/2023","6","1004","1116","-112","-11.1"
"CR-P32-3","GOLD CUP RUBY RED 460MM(H)","001","000234","UBMM01","31/10/2023","1","180","186","-6","-3.1"
"CR-P32-3","GOLD CUP RUBY RED 460MM(H)","001","000314","UBMM01","08/11/2023","1","180","186","-6","-3.1"
"CR-P32-3","GOLD CUP RUBY RED 460MM(H)","003","001453","TT0700","21/06/2024","1","171","186","-15","-8.7"
"CR-P32-3","GOLD CUP RUBY RED 460MM(H)","001","001490","PRJ010","01/07/2024","1","186","186","0","0.0"
"TOTALS:","","","","","","10","1722","1860","-138","-8.0"
"CR-SL101-3","SILVER & BLACK CHALISE 390MM","003","000578","TB0100","04/12/2023","4","489","556","-67","-13.6"
"CR-SL101-3","SILVER & BLACK CHALISE 390MM","003","000892","TE0300","20/02/2024","25","2954","3475","-521","-17.6"
"CR-SL101-3","SILVER & BLACK CHALISE 390MM","003","001467","TB0100","25/06/2024","5","612","695","-83","-13.6"
"TOTALS:","","","","","","34","4055","4726","-671","-16.6"
"CS-021-1","ROUND PLATE ON WOOD 180MM (H","001","001166","LS0200","15/04/2024","1","62","155","-93","-150.0"
"TOTALS:","","","","","","1","62","155","-93","-150.0"
"CS-021-3","PRESTIGE ON WOOD 210MM (H)","001","000381","UBMM01","15/11/2023","5","752","775","-23","-3.1"
"CS-021-3","PRESTIGE ON WOOD 210MM (H)","003","001304","COS010","09/05/2024","1","140","155","-15","-11.1"
"TOTALS:","","","","","","6","891","930","-39","-4.3"
"CS-022-100BZ","SIDE FROST BZ: WOOD BASE 305","003","000164","TB0100","24/10/2023","2","468","532","-64","-13.6"
"TOTALS:","","","","","","2","468","532","-64","-13.6"
"CS-022-100GD","SIDE FROST GD: WOOD BASE 305","001","001166","LS0200","15/04/2024","1","106","266","-160","-150.0"
"TOTALS:","","","","","","1","106","266","-160","-150.0"
"CS-022-100SV","SIDE FROST SV: WOOD BASE 305","001","001166","LS0200","15/04/2024","1","106","266","-160","-150.0"
"TOTALS:","","","","","","1","106","266","-160","-150.0"
"CS-022-102","PENTAGON / BLUE STAR 210MM (","002","000372","CCG020","15/11/2023","9","2394","2394","0","0.0"
"TOTALS:","","","","","","9","2394","2394","0","0.0"
"CS-022-103","SAIL BOAT BLUE PIECE 255MM (","003","000947","CTR010","29/02/2024","1","266","266","0","0.0"
"TOTALS:","","","","","","1","266","266","0","0.0"
"CS-022-105","SPEAR ON WOOD 265MM (H)","003","001432","TT0700","14/06/2024","1","270","294","-24","-8.7"
"TOTALS:","","","","","","1","270","294","-24","-8.7"
"CS-026Y-L","TR ROUND YELLOW SIDES 270MM","001","000079","PGJ010","11/10/2023","1","236","262","-26","-11.1"
"CS-026Y-L","TR ROUND YELLOW SIDES 270MM","001","000080","FP0200","11/10/2023","1","241","262","-21","-8.7"
"CS-026Y-L","TR ROUND YELLOW SIDES 270MM","003","000105","TDG020","16/10/2023","6","1336","1572","-236","-17.6"
"CS-026Y-L","TR ROUND YELLOW SIDES 270MM","003","000149","CC0100","20/10/2023","11","2738","2882","-144","-5.3"
"CS-026Y-L","TR ROUND YELLOW SIDES 270MM","001","000189","GSM010","25/10/2023","1","249","262","-13","-5.3"
"CS-026Y-L","TR ROUND YELLOW SIDES 270MM","001","000213","TG0100","30/10/2023","2","498","524","-26","-5.3"
"CS-026Y-L","TR ROUND YELLOW SIDES 270MM","001","000231","PGJ010","31/10/2023","12","2830","3144","-314","-11.1"
"CS-026Y-L","TR ROUND YELLOW SIDES 270MM","003","000237","TDG020","01/11/2023","6","1336","1572","-236","-17.6"
