"YEAR:","CURRENT"
"REPORT:","COMPLETE REPORT"
"CATEGORY:",""
"ITEM NUMBER:",""
"ACCOUNT NUMBER:",""
"SALES REP:",""
"LOCATION:","ALL LOCATIONS"

"ITEM NUMBER","DESCRIPTION","REP","DOCNO","ACCNO","DATE","QUANTITY","RETAIL","COST","GROSS","%"
"CS-026Y-L","TR ROUND YELLOW SIDES 270MM","002","005371","TB0100","04/06/2026","4","833","980","-147","-17.6"
"TOTALS:","","","","","","4","833","980","-147","-17.6"
"CS-026Y-M","TR ROUND YELLOW SIDES 245MM","002","005371","TB0100","04/06/2026","4","738","868","-130","-17.6"
"TOTALS:","","","","","","4","738","868","-130","-17.6"
"CS-026Y-S","TR ROUND YELLOW SIDES 225MM","002","005371","TB0100","04/06/2026","4","666","784","-118","-17.6"
"CS-026Y-S","TR ROUND YELLOW SIDES 225MM","002","005372","LYE010","04/06/2026","1","180","196","-16","-8.7"
"TOTALS:","","","","","","5","847","980","-133","-15.7"
"CS-08B-M","LONG STAR BLUE BASE 250MM(H)","003","005378","TP0200","05/06/2026","5","882","980","-98","-11.1"
"TOTALS:","","","","","","5","882","980","-98","-11.1"
"CS-135025","CLEAR BASE 130*50*25 MM","002","005354","TDG020","29/05/2026","23","1087","1449","-362","-33.3"
"CS-135025","CLEAR BASE 130*50*25 MM","002","005370","TA0100","04/06/2026","7","397","441","-44","-11.1"
"TOTALS:","","","","","","30","1484","1890","-406","-27.4"
"CS-158040-B","BLACK BASE 150*80*40MM","003","005334","SN0200","27/05/2026","2","294","392","-98","-33.3"
"TOTALS:","","","","","","2","294","392","-98","-33.3"
"CS-158040-C","CLEAR BASE 150*80*40MM","003","005334","SN0200","27/05/2026","7","662","882","-220","-33.3"
"TOTALS:","","","","","","7","662","882","-220","-33.3"
"CS-184-M","CURVED TROPHY 250MM (H)","002","005371","TB0100","04/06/2026","10","2737","3220","-483","-17.6"
"TOTALS:","","","","","","10","2737","3220","-483","-17.6"
"CS-206030-C","CLEAR BASE 200*60*30MM","002","005360","IC0100","01/06/2026","1","109","109","0","0.0"
"TOTALS:","","","","","","1","109","109","0","0.0"
"CS-44-M","OVALISH SHIELD 200MM (H)","003","005381","UBMM01","08/06/2026","4","521","560","-39","-7.5"
"TOTALS:","","","","","","4","521","560","-39","-7.5"
"CS-44-S","OVALISH SHIELD 160MM (H)","003","005381","UBMM01","08/06/2026","3","293","315","-22","-7.5"
