item_number,accno,date,quantity,retail,cost,gross
AF-02,SN0200,17/06/2025,-29,-6121,-1450,-4671
AF-02,SN0200,17/06/2025,-26,-5323,-1310,-4013
AF-02,SN0200,28/11/2023,36,5746,1800,3946
AF-02,SN0200,29/08/2024,1,19152,50,19102
AF-02,SN0200,19/09/2024,5,2058,225,1833
AF-02,SN0200,17/06/2025,29,6121,1450,4671
AF-02,SN0200,17/06/2025,26,5323,1310,4013
AF-02,SN0200,17/06/2025,26,6121,1310,4811
AF-02,SN0200,23/06/2025,26,5914,1300,4614
AF-02,SN0200,31/07/2025,126,16920,6300,10620
AF-02,SN0200,23/09/2025,1,4200,50,4150
ARTWORK,TDG020,17/04/2025,1,800,200,600
ARTWORK,TDG020,09/09/2025,2,2200,400,1800
CC01,COS010,12/10/2023,1,641,10,631
CC01,LAC010,16/10/2023,1,196,10,186
CC01,COS010,27/11/2023,1,96,10,86
CC01,COS010,09/05/2024,1,389,10,379
CC01,COS010,22/04/2025,1,235,10,225
CC01,COS010,17/10/2025,1,730,10,720
CR-P32-2,UBMM01,08/11/2023,1,152,157,-5
CR-P32-2,UBMM01,20/11/2023,1,152,157,-5
CR-P32-2,UBMM01,11/03/2024,1,63,157,-94
CR-P32-2,UBMM01,12/03/2025,1,146,157,-11
CR-P32-3,TC0700,18/10/2023,6,1004,1116,-112
CR-P32-3,UBMM01,31/10/2023,1,180,186,-6
CR-P32-3,UBMM01,08/11/2023,1,180,186,-6
CR-P32-3,TT0700,21/06/2024,1,171,186,-15
CR-P32-3,PRJ010,01/07/2024,1,186,186,0
CR-P32-3,UBMM01,12/03/2025,1,173,186,-13
CR-SL048-2,FDS010,04/08/2025,2,202,220,-18
CR-SL048-3,LYE010,27/02/2025,1,128,139,-11
CR-SL101-3,TB0100,04/12/2023,4,489,556,-67
CR-SL101-3,TE0300,20/02/2024,25,2954,3475,-521
CR-SL101-3,TB0100,25/06/2024,5,612,695,-83
CR-SL101-3,LYE010,14/10/2024,3,384,417,-33
CR-SL125-1,JM0200,22/10/2024,12,730,768,-38
CR-SL125-1,LYE010,26/11/2024,7,378,448,-70
CR-SL125-2,FP0200,19/08/2024,1,69,75,-6
CR-SL125-2,JM0200,22/10/2024,12,855,900,-45
CR-SL125-2,LYE010,26/11/2024,1,65,75,-10
CR-SL130-2,UBMM01,22/04/2025,1,42,104,-62
CR-SL134-2,LYE010,10/10/2024,1,26,52,-26
CR-SL144-3,JM0200,22/10/2024,11,784,825,-41
CS-021-1,LS0200,15/04/2024,1,62,155,-93
CS-021-1,BB0100,29/09/2025,1,62,155,-93
CS-021-3,UBMM01,15/11/2023,5,752,775,-23
CS-021-3,COS010,09/05/2024,1,140,155,-15
CS-022-100BZ,TB0100,24/10/2023,2,468,532,-64
CS-022-100BZ,TD0100,04/09/2024,1,253,266,-13
CS-022-100BZ,TD0100,29/10/2024,1,253,266,-13
CS-022-100BZ,TD0100,06/11/2024,1,253,266,-13
CS-022-100BZ,CTR010,14/11/2024,1,253,266,-13
CS-022-100BZ,TD0100,20/11/2024,1,253,266,-13
CS-022-100BZ,FM0200,28/11/2024,2,505,532,-27
CS-022-100BZ,TD0100,05/12/2024,3,758,798,-40
CS-022-100BZ,TD0100,06/12/2024,1,253,266,-13
CS-022-100BZ,TD0100,18/03/2025,3,758,798,-40
CS-022-100BZ,TB0100,12/06/2025,1,226,266,-40
CS-022-100GD,LS0200,15/04/2024,1,106,266,-160
CS-022-100SV,LS0200,15/04/2024,1,106,266,-160
CS-022-100SV,CTR010,27/11/2024,1,253,266,-13
CS-022-102,CCG020,15/11/2023,9,2394,2394,0
CS-022-103,CTR010,29/02/2024,1,266,266,0
CS-022-105,TT0700,14/06/2024,1,270,294,-24
CS-026Y-L,PGJ010,11/10/2023,1,236,262,-26
CS-026Y-L,FP0200,11/10/2023,1,241,262,-21
CS-026Y-L,TDG020,16/10/2023,6,1336,1572,-236
CS-026Y-L,CC0100,20/10/2023,11,2738,2882,-144
CS-026Y-L,GSM010,25/10/2023,1,249,262,-13
CS-026Y-L,TG0100,30/10/2023,2,498,524,-26
CS-026Y-L,PGJ010,31/10/2023,12,2830,3144,-314
CS-026Y-L,TDG020,01/11/2023,6,1336,1572,-236
CS-026Y-L,TG0100,09/11/2023,1,249,262,-13
CS-026Y-L,LYE010,16/11/2023,7,1742,1834,-92
CS-026Y-L,TDG020,17/11/2023,1,223,262,-39
CS-026Y-L,TB0100,28/11/2023,1,231,262,-31
CS-026Y-L,TB0100,30/11/2023,1,231,262,-31
CS-026Y-L,JG0100,01/12/2023,1,249,262,-13
CS-026Y-L,JG0100,16/01/2024,1,249,262,-13
CS-026Y-L,RB0200,17/01/2024,1,262,262,0
CS-026Y-L,SSS010,25/01/2024,60,14934,15720,-786
CS-026Y-L,RB0200,05/02/2024,1,262,262,0
CS-026Y-L,SSS010,05/02/2024,1,249,262,-13
CS-026Y-L,MM0200,09/02/2024,20,4978,5240,-262
CS-026Y-L,MM0200,13/02/2024,2,498,524,-26
CS-026Y-L,SM0200,15/02/2024,4,1048,1048,0
CS-026Y-L,SN0200,15/02/2024,5,1114,1310,-197
CS-026Y-L,MBSA01,01/03/2024,1,262,262,0
CS-026Y-L,VE0100,24/06/2024,6,1507,1674,-167
CS-026Y-L,TB0100,25/06/2024,4,982,1116,-134
CS-026Y-L,RB0200,15/07/2024,3,837,837,0
CS-026Y-L,TB0100,01/08/2024,3,737,837,-100
CS-026Y-L,TB0100,10/09/2024,2,417,490,-73
CS-026Y-L,ESE101,10/09/2024,1,245,245,0
CS-026Y-L,LYE010,11/09/2024,1,225,245,-20
CS-026Y-L,AGU010,12/09/2024,2,441,490,-49
CS-026Y-L,SSS010,03/10/2024,1,233,245,-12
CS-026Y-L,SSS010,23/10/2024,2,466,490,-25
CS-026Y-L,CCG020,14/11/2024,1,245,245,0
CS-026Y-L,TB0100,21/11/2024,38,7914,9310,-1397
CS-026Y-L,LYE010,25/11/2024,2,451,490,-39
CS-026Y-L,TB0100,26/11/2024,1,208,245,-37
CS-026Y-L,VE0100,03/12/2024,3,662,735,-74
CS-026Y-L,LYE010,04/12/2024,2,451,490,-39
CS-026Y-L,CP0100,05/12/2024,17,3957,4165,-208
CS-026Y-L,LYE010,10/12/2024,4,902,980,-78
CS-026Y-L,PA0400,10/12/2024,10,2083,2450,-368
CS-026Y-L,RB0200,21/01/2025,1,245,245,0
CS-026Y-L,SSS010,23/01/2025,2,466,490,-25
CS-026Y-L,TDG020,29/01/2025,2,417,490,-74
CS-026Y-L,FP0200,28/02/2025,2,431,490,-59
CS-026Y-L,TB0100,04/03/2025,4,833,980,-147
CS-026Y-L,CP0100,24/03/2025,4,931,980,-49
CS-026Y-L,TD0100,20/05/2025,2,466,490,-24
CS-026Y-L,TD0100,28/05/2025,1,233,245,-12
CS-026Y-L,TB0100,12/06/2025,1,208,245,-37
CS-026Y-L,TB0100,19/06/2025,3,625,735,-110
CS-026Y-L,LYE010,19/08/2025,11,2479,2695,-216
CS-026Y-L,LYE010,05/09/2025,2,451,490,-39
CS-026Y-L,TB0100,11/09/2025,8,1666,1960,-294
CS-026Y-L,TB0100,18/09/2025,22,4582,5390,-808
CS-026Y-L,SSL010,09/10/2025,2,490,490,0
CS-026Y-L,TB0100,23/10/2025,5,1041,1225,-184
CS-026Y-M,TB0100,18/01/2024,-12,-2450,-2784,334
CS-026Y-M,PGJ010,11/10/2023,1,209,232,-23
CS-026Y-M,TDG020,16/10/2023,6,1183,1392,-209
CS-026Y-M,TB0100,20/10/2023,1,204,232,-28
CS-026Y-M,PGJ010,31/10/2023,10,2088,2320,-232
CS-026Y-M,TDG020,01/11/2023,5,986,1160,-174
CS-026Y-M,TDG020,20/11/2023,2,394,464,-70
CS-026Y-M,FM0200,22/11/2023,3,661,696,-35
CS-026Y-M,SSL010,22/11/2023,9,2088,2088,0
CS-026Y-M,TB0100,23/11/2023,2,408,464,-56
CS-026Y-M,FP0200,27/11/2023,2,427,464,-37
CS-026Y-M,JG0100,01/12/2023,1,220,232,-12
CS-026Y-M,VE0100,13/12/2023,5,1044,1160,-116
CS-026Y-M,JG0100,16/01/2024,1,220,232,-12
CS-026Y-M,RB0200,17/01/2024,2,464,464,0
CS-026Y-M,TB0100,18/01/2024,12,2450,2784,-334
CS-026Y-M,SM0200,24/01/2024,1,232,232,0
CS-026Y-M,SSS010,31/01/2024,8,1763,1856,-93
CS-026Y-M,RB0200,05/02/2024,1,232,232,0
CS-026Y-M,SSS010,05/02/2024,8,1763,1856,-93
CS-026Y-M,SN0200,15/02/2024,3,592,696,-104
CS-026Y-M,VE0100,24/06/2024,7,1556,1729,-173
CS-026Y-M,TB0100,25/06/2024,4,869,988,-119
CS-026Y-M,RB0200,15/07/2024,2,494,494,0
CS-026Y-M,TB0100,01/08/2024,2,435,494,-59
CS-026Y-M,TB0100,12/09/2024,1,184,217,-33
CS-026Y-M,TD0100,10/10/2024,17,3505,3689,-184
CS-026Y-M,TB0100,17/10/2024,1,184,217,-33
CS-026Y-M,TB0100,21/10/2024,1,184,217,-33
CS-026Y-M,TD0100,23/10/2024,1,206,217,-11
CS-026Y-M,SSS010,23/10/2024,2,412,434,-22
CS-026Y-M,WHC010,30/10/2024,1,191,217,-26
CS-026Y-M,CTR010,19/11/2024,5,1031,1085,-54
CS-026Y-M,TD0100,20/11/2024,7,1443,1519,-76
CS-026Y-M,TD0100,29/11/2024,2,412,434,-22
CS-026Y-M,SSS010,23/01/2025,10,2062,2170,-109
CS-026Y-M,CTA010,29/01/2025,5,1031,1085,-54
CS-026Y-M,MM0200,14/02/2025,23,4592,4991,-399
CS-026Y-M,FP0200,28/02/2025,5,955,1085,-130
CS-026Y-M,IC0100,16/04/2025,20,4340,4340,0
CS-026Y-M,IC0100,02/06/2025,3,651,651,0
CS-026Y-M,TB0100,19/06/2025,3,553,651,-98
CS-026Y-M,TB0100,09/09/2025,2,369,434,-65
CS-026Y-M,SSL010,09/10/2025,2,434,434,0
CS-026Y-M,TB0100,23/10/2025,2,369,434,-65
CS-026Y-S,PGJ010,11/10/2023,1,189,210,-21
CS-026Y-S,TDG020,16/10/2023,6,1071,1260,-189
CS-026Y-S,TT0700,30/10/2023,1,193,210,-17
CS-026Y-S,PGJ010,31/10/2023,10,1890,2100,-210
CS-026Y-S,TDG020,01/11/2023,6,1071,1260,-189
CS-026Y-S,NT0300,08/11/2023,6,1008,1260,-252
CS-026Y-S,ME0100,30/11/2023,15,3150,3150,0
CS-026Y-S,JG0100,01/12/2023,1,200,210,-10
CS-026Y-S,TDG020,04/12/2023,14,2499,2940,-441
CS-026Y-S,TB0100,05/12/2023,3,554,630,-76
CS-026Y-S,LYE010,06/12/2023,2,399,420,-21
CS-026Y-S,RB0200,05/02/2024,1,210,210,0
CS-026Y-S,SSS010,05/02/2024,6,1197,1260,-63
CS-026Y-S,SM0200,06/02/2024,3,630,630,0
CS-026Y-S,SN0200,15/02/2024,9,1607,1890,-283
CS-026Y-S,TB0100,25/06/2024,4,785,892,-107
CS-026Y-S,TB0100,01/08/2024,2,392,446,-54
CS-026Y-S,VE0100,21/08/2024,5,882,980,-98
CS-026Y-S,TB0100,12/09/2024,2,333,392,-59
CS-026Y-S,TB0100,25/09/2024,7,1166,1372,-206
CS-026Y-S,TB0100,26/09/2024,5,833,980,-147
CS-026Y-S,TB0100,03/10/2024,1,167,196,-29
CS-026Y-S,SSS010,23/10/2024,2,372,392,-20
CS-026Y-S,TB0100,29/10/2024,1,167,196,-29
CS-026Y-S,CTR010,19/11/2024,5,931,980,-49
CS-026Y-S,SSS010,23/01/2025,16,2979,3136,-157
CS-026Y-S,CTA010,27/01/2025,5,931,980,-49
CS-026Y-S,TB0100,19/06/2025,3,500,588,-88
CS-026Y-S,SSL010,07/07/2025,4,784,784,0
CS-026Y-S,TB0100,18/09/2025,7,1166,1372,-206
CS-026Y-S,SSL010,09/10/2025,2,392,392,0
CS-026Y-S,TP0200,10/10/2025,4,706,784,-78
CS-026Y-S,TB0100,23/10/2025,2,333,392,-59
CS-06B-L,CC0100,02/10/2023,2,640,674,-34
CS-06B-L,WC0100,03/10/2023,1,337,337,0
CS-06B-L,WHC010,09/10/2023,1,297,337,-40
CS-06B-L,WHC010,13/10/2023,1,297,337,-40
CS-06B-L,TB0100,17/10/2023,10,2966,3370,-404
CS-06B-L,SSS010,17/10/2023,8,2561,2696,-135
CS-06B-L,IT0100,09/11/2023,4,1213,1348,-135
CS-06B-L,TB0100,28/03/2024,1,297,337,-40
CS-06B-L,TE0300,12/04/2024,6,1719,2022,-303
CS-06B-L,TB0100,18/04/2024,2,593,674,-81
CS-06B-L,TB0100,23/05/2024,3,890,1011,-121
CS-06B-L,CWMT01,31/05/2024,1,303,337,-34
CS-06B-L,TA0100,31/05/2024,2,607,674,-67
CS-06B-L,IT0100,04/06/2024,2,607,674,-67
CS-06B-L,SSL010,14/06/2024,1,337,337,0
CS-06B-L,TD0100,09/07/2024,1,337,337,0
CS-06B-L,CC0100,16/07/2024,2,640,674,-34
CS-06B-L,TA0100,24/07/2024,7,2123,2359,-236
CS-06B-L,TDG020,31/07/2024,40,11458,13480,-2022
CS-06B-L,TB0100,01/08/2024,4,1186,1348,-162
CS-06B-L,TA0100,05/08/2024,11,3336,3707,-371
CS-06B-L,SN0200,08/08/2024,13,3724,4381,-657
CS-06B-L,UBMM01,28/11/2024,1,126,315,-189
CS-06B-L,CTA010,04/03/2025,1,299,315,-16
CS-06B-L,HD0100,20/03/2025,6,1663,1890,-227
CS-06B-L,HD0100,02/04/2025,2,554,630,-76
CS-06B-L,TA0100,30/04/2025,8,2268,2520,-252
CS-06B-L,TA0100,28/05/2025,2,567,630,-63
CS-06B-L,TB0100,19/06/2025,3,803,945,-142
CS-06B-L,HD0100,11/07/2025,2,554,630,-76
CS-06B-L,IC0100,05/08/2025,3,945,945,0
CS-06B-L,UBMM01,19/08/2025,3,879,945,-66
CS-06B-L,CP0100,26/08/2025,1,299,315,-16
CS-06B-L,TA0100,01/09/2025,2,567,630,-63
CS-06B-L,TP0200,04/09/2025,1,284,315,-32
CS-06B-L,PA0400,11/09/2025,5,1339,1575,-236
CS-06B-L,PA0400,25/09/2025,5,1339,1575,-236
CS-06B-L,TB0100,02/10/2025,1,268,315,-47
CS-06B-L,FP0200,07/10/2025,2,554,630,-76
CS-06B-L,CP0100,07/10/2025,3,898,945,-47
CS-06B-M,CC0100,02/10/2023,2,570,600,-30
CS-06B-M,CP0100,23/05/2024,-5,-1500,-1500,0
CS-06B-M,FP0200,19/11/2024,-2,-493,-560,67
CS-06B-M,TB0100,24/10/2023,2,528,600,-72
CS-06B-M,TB0100,26/10/2023,8,2112,2400,-288
CS-06B-M,TB0100,02/11/2023,2,528,600,-72
CS-06B-M,CTR010,08/11/2023,1,300,300,0
CS-06B-M,TB0100,09/11/2023,8,2112,2400,-288
CS-06B-M,FDS010,10/11/2023,1,276,300,-24
CS-06B-M,TA0100,10/11/2023,18,4860,5400,-540
CS-06B-M,TDG020,20/11/2023,1,255,300,-45
CS-06B-M,SN0200,22/11/2023,4,1020,1200,-180
CS-06B-M,TDG020,23/11/2023,19,4845,5700,-855
CS-06B-M,FP0200,24/11/2023,1,276,300,-24
CS-06B-M,TP0100,01/12/2023,1,285,300,-15
CS-06B-M,TDG020,05/12/2023,3,765,900,-135
CS-06B-M,CP0100,16/05/2024,1,300,300,0
CS-06B-M,SSL010,16/05/2024,26,7800,7800,0
CS-06B-M,CP0100,20/05/2024,25,7500,7500,0
CS-06B-M,CP0100,22/05/2024,10,3000,3000,0
CS-06B-M,TB0100,23/05/2024,3,792,900,-108
CS-06B-M,CWMT01,31/05/2024,1,270,300,-30
CS-06B-M,CP0100,06/06/2024,11,3300,3300,0
CS-06B-M,SSL010,14/06/2024,1,300,300,0
CS-06B-M,TD0100,09/07/2024,2,600,600,0
CS-06B-M,CC0100,16/07/2024,2,570,600,-30
CS-06B-M,TA0100,24/07/2024,9,2430,2700,-270
CS-06B-M,TB0100,01/08/2024,4,1056,1200,-144
CS-06B-M,CP0100,07/08/2024,4,1200,1200,0
CS-06B-M,SN0200,08/08/2024,4,1020,1200,-180
CS-06B-M,GCP010,24/10/2024,13,3640,3640,0
CS-06B-M,TA0100,30/10/2024,24,6048,6720,-672
CS-06B-M,TB0100,07/11/2024,1,238,280,-42
CS-06B-M,TB0100,14/11/2024,6,1428,1680,-252
CS-06B-M,SHA010,14/11/2024,3,840,840,0
CS-06B-M,CIG010,15/11/2024,8,2128,2240,-112
CS-06B-M,CP0100,19/11/2024,17,4522,4760,-238
CS-06B-M,FP0200,19/11/2024,2,493,560,-67
CS-06B-M,UBMM01,19/11/2024,1,112,280,-168
CS-06B-M,CTR010,20/11/2024,1,266,280,-14
CS-06B-M,CP0100,25/11/2024,11,2926,3080,-154
CS-06B-M,CP0100,27/11/2024,21,5586,5880,-294
CS-06B-M,TA0100,27/11/2024,8,2016,2240,-224
CS-06B-M,CTR010,27/11/2024,7,1862,1960,-98
CS-06B-M,CP0100,02/12/2024,1,266,280,-14
CS-06B-M,CP0100,13/03/2025,1,266,280,-14
CS-06B-M,HD0100,20/03/2025,4,986,1120,-134
CS-06B-M,TA0100,30/04/2025,10,2520,2800,-280
CS-06B-M,IT0100,06/06/2025,5,1260,1400,-140
CS-06B-M,CP0100,12/06/2025,9,2394,2520,-126
CS-06B-M,TB0100,19/06/2025,3,714,840,-126
CS-06B-M,IT0100,20/06/2025,4,1008,1120,-112
CS-06B-M,SN0200,19/09/2025,12,2856,3360,-504
CS-06B-M,TB0100,02/10/2025,5,1190,1400,-210
CS-06B-M,TP0200,08/10/2025,4,1008,1120,-112
CS-06B-S,CC0100,02/10/2023,2,498,524,-26
CS-06B-S,CP0100,05/12/2024,-4,-931,-980,49
CS-06B-S,SM0200,22/01/2025,-1,-245,-245,0
CS-06B-S,WHC010,04/06/2025,-2,-431,-490,59
CS-06B-S,WHC010,10/11/2023,2,461,524,-63
CS-06B-S,TB0100,14/11/2023,2,461,524,-63
CS-06B-S,SN0200,22/11/2023,12,2672,3144,-472
CS-06B-S,TP0100,29/11/2023,6,1493,1572,-79
CS-06B-S,TB0100,05/12/2023,1,231,262,-31
CS-06B-S,TP0200,15/04/2024,10,2620,2620,0
CS-06B-S,TB0100,17/04/2024,2,461,524,-63
CS-06B-S,TB0100,02/05/2024,1,231,262,-31
CS-06B-S,TB0100,23/05/2024,3,692,786,-94
CS-06B-S,CWMT01,31/05/2024,1,236,262,-26
CS-06B-S,SSL010,14/06/2024,1,262,262,0
CS-06B-S,TB0100,05/07/2024,1,231,262,-31
CS-06B-S,CC0100,16/07/2024,2,498,524,-26
CS-06B-S,TA0100,24/07/2024,6,1415,1572,-157
CS-06B-S,TB0100,01/08/2024,4,922,1048,-126
CS-06B-S,FDS010,02/08/2024,1,241,262,-21
CS-06B-S,TB0100,06/08/2024,1,231,262,-31
CS-06B-S,SN0200,19/08/2024,3,668,786,-118
CS-06B-S,SN0200,20/08/2024,2,445,524,-79
CS-06B-S,TJ0100,27/08/2024,3,723,786,-63
CS-06B-S,TDG020,13/09/2024,19,4231,4655,-424
CS-06B-S,TB0100,15/10/2024,3,625,735,-110
